# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181201\5016.dat																																																															
																																																																
Log date:	Samstag, 01.Dezember 2018	Log time:	13:26:36																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
13:26:26:471	442.563974	0.874522	-0.075617	-0.815344	-0.417535	-0.598357	0.026301	-0.332055	0.512878	0.568768	-0.516165	0.118356	-0.098630	-0.101918	-0.453699	-0.147945	-0.578631	-0.009863	0.302466	0.295891	-0.101918	-0.138082	-0.391233	0.000000	0.322192	-0.216987	1.775345	-0.677261	0.493151	0.818631	-0.174247	-0.358357	2331.472111	1721.138013	-4.122746	1.144111	10.385770	-5.342474	-18.476741	-2.038359	4.632336	-2.215894	-8.580835	11.427963	16.727697	3.027950	26.534836	12.032895	12.174265	38.248826	7.801656	15.244955	-3.974801	40.727734	15.747970	11.477278	7.324943	17.066328	37.239510	12.716732	-0.401097	-10.392345	-0.986303	17.072903
13:26:26:481	444.050004	1.153974	0.601645	0.473425	-0.417535	-0.295891	-0.072329	0.069041	0.243288	0.184110	-0.062466	0.118356	-0.305754	-0.499727	0.213699	-0.240000	-0.019726	-0.009863	-0.180822	1.058632	-0.009863	0.042740	-0.292603	0.187398	-0.046027	-0.420823	1.495893	0.174247	0.890960	0.545754	0.558905	0.006575	2352.003650	1690.920980	-5.490419	10.625770	14.577557	9.876180	1.545208	10.297002	11.602210	18.088795	6.332065	16.865780	3.945212	17.299753	-3.406033	-24.969902	3.951787	26.837302	11.937553	9.866317	0.299179	22.826337	22.793460	8.656452	14.054816	17.066328	6.190695	5.930968	-3.235074	25.032368	-2.330963	15.721668
13:26:26:491	452.775497	0.410960	0.121644	0.105206	0.381370	0.410960	0.226850	0.069041	0.420823	-0.489864	0.210411	-0.151233	-0.618083	-0.598357	-0.358357	-0.696987	0.355069	-0.009863	0.013151	0.486576	-0.831782	0.042740	-0.098630	0.092055	-0.141370	0.187398	1.587948	-0.394521	-0.098630	-0.006575	-0.082192	0.460275	2309.569611	1625.029371	16.352902	1.144111	-3.560553	4.336445	-5.135350	50.028571	-6.496448	1.834523	3.613156	-4.852610	-18.779207	5.871790	-2.041647	6.542476	-0.141370	-0.249863	0.946851	24.674011	15.932080	17.332630	12.950157	34.181971	6.000009	19.860853	18.335371	3.208772	9.507960	25.032368	19.140852	7.650423
13:26:26:501	461.967840	0.874522	0.023014	0.381370	0.825207	0.108493	0.627946	0.473425	0.151233	0.473425	0.029589	0.299179	-0.098630	-0.200548	-0.072329	-0.604932	-0.111781	-0.105206	0.397809	0.391233	-0.558905	-0.503014	0.190685	0.282740	-0.604932	-0.621371	1.775345	-0.963289	0.595069	0.269589	-0.174247	0.733152	2295.876439	1578.370668	24.539216	-2.926032	17.349068	9.876180	-3.797266	3.432334	-9.284398	3.189046	6.332065	-4.852610	12.480019	0.167671	15.646052	10.658647	12.174265	5.444392	28.464702	17.944137	0.299179	29.717306	19.975921	18.578659	48.983090	22.652090	7.541930	11.355634	30.766075	5.201104	8.396725	15.721668
13:26:26:512	468.559631	0.966577	0.312329	0.381370	0.381370	-0.295891	0.529316	0.170959	-0.118356	-0.394521	0.210411	-0.420823	-0.098630	0.095343	0.499727	-0.604932	-0.203836	0.470138	0.302466	0.105206	-0.190685	0.223562	-0.585206	0.000000	-0.141370	-0.825207	2.150140	0.174247	0.197261	1.091509	0.101918	-0.085480	2362.954899	1553.657205	30.009910	14.695913	-6.355078	-3.955075	-1.124385	0.687124	6.026311	7.259189	9.050973	4.645487	15.304133	7.301929	3.392882	2.442744	12.174265	9.731522	18.812084	0.417535	0.299179	20.087702	4.494254	-1.288769	14.054816	4.520555	4.839460	35.812658	15.182489	-0.456987	9.738097	-5.815899
13:26:26:521	460.202358	0.315617	-0.170959	-0.078904	0.203836	-0.598357	0.226850	-0.733152	-0.210411	-0.299179	-0.151233	-0.240000	-0.203836	-0.401097	0.023014	0.039452	0.072329	0.085480	0.207124	0.200548	-0.190685	0.042740	-0.973152	0.187398	0.322192	-0.115069	1.775345	-0.581919	0.197261	-0.006575	0.101918	0.279452	2336.939517	1568.764078	34.112930	14.695913	14.577557	-6.726586	14.870160	30.848267	15.761120	23.493735	22.619213	10.066865	-10.244399	20.163319	-2.041647	10.658647	20.380306	9.731522	13.318377	-7.660286	7.403847	43.482807	12.950157	5.812612	22.109623	-10.800017	16.984136	30.371554	6.690421	17.957288	13.768788	8.998370
13:26:26:531	449.990835	0.315617	0.121644	0.105206	0.115069	-0.598357	0.026301	-0.029589	0.332055	0.279452	0.118356	-0.509590	0.213699	0.493151	-0.453699	0.131507	-0.670686	0.085480	-0.565480	0.677261	-0.650960	-0.503014	-0.292603	0.000000	-0.046027	0.289316	1.587948	0.174247	0.989591	-0.190685	-0.355069	0.006575	2347.890767	1734.870637	-2.755073	3.859732	2.025209	19.555099	10.882209	23.986887	-16.231258	15.376462	3.613156	20.926060	22.418665	3.027950	8.847137	9.287686	12.174265	12.588513	17.454274	8.515082	18.782495	17.332630	19.975921	1.551783	-4.747405	24.049352	2.156716	0.486576	5.273433	10.878921	-6.341928	4.954528
13:26:26:541	444.234114	0.874522	0.312329	0.381370	0.381370	0.611508	0.226850	0.069041	-0.568768	0.762741	0.029589	0.118356	0.627946	-0.499727	0.023014	-0.240000	-1.042193	-0.009863	0.013151	0.769316	-0.558905	-0.138082	-0.486576	-0.187398	-0.417535	0.289316	1.495893	-0.203836	0.493151	0.818631	0.466850	0.825207	2328.730189	1706.031140	6.798915	5.214255	-0.769316	2.949046	2.863566	10.297002	3.238361	4.546856	4.970967	26.367164	-1.726030	1.597811	-4.770418	6.542476	-6.996175	1.180276	-0.433973	35.451014	18.782495	17.332630	4.494254	2.972059	8.669602	22.652090	-1.896989	20.863594	16.599478	12.299197	8.396725	18.420851
13:26:26:551	443.491099	0.595069	0.312329	-0.263014	-0.328768	-0.295891	0.128219	0.170959	0.151233	0.184110	-0.062466	0.029589	0.213699	-0.101918	0.213699	-0.420823	0.072329	-0.009863	0.588494	0.769316	0.174247	0.588494	-0.779179	-0.466850	0.417535	0.595069	1.029043	-0.489864	0.394521	-0.006575	0.647672	0.552330	2382.115477	1701.905107	-2.755073	3.859732	7.594532	-5.342474	4.198363	-8.903028	10.208235	1.834523	14.485502	-3.494800	18.151261	8.735356	-2.041647	13.403856	-0.141370	21.143047	9.179192	7.167134	-6.825216	25.581410	12.950157	14.317830	26.143602	7.311792	-5.953982	15.438928	2.436168	30.710185	-2.330963	-9.843303
13:26:26:561	449.063711	0.690412	-0.170959	0.289316	0.292603	-0.598357	-0.174247	-0.532604	0.243288	-0.394521	0.210411	0.118356	-0.203836	0.197261	-0.453699	-0.147945	-0.299179	-0.295891	0.493151	0.295891	0.082192	0.134795	-0.003288	-0.092055	-0.046027	-0.013151	1.683290	-0.489864	0.098630	0.450412	0.374795	0.187398	2319.149900	1582.496702	31.377583	13.338103	11.783032	34.754027	9.544124	44.557877	4.632336	-6.286037	15.826874	7.367683	2.541374	30.161143	3.392882	-3.047676	-5.625214	19.712907	14.695913	-13.038924	34.435122	21.465239	-1.121098	12.897554	19.417016	3.143019	-3.251512	23.585790	30.766075	5.201104	-0.986303	26.492096
13:26:26:571	456.582626	0.315617	0.121644	-0.078904	0.381370	-0.095343	0.026301	-0.230137	0.243288	-0.489864	-0.608220	0.207124	0.006575	-0.401097	-0.263014	0.131507	-0.858084	0.374795	0.207124	0.769316	-0.558905	-0.322192	0.289316	0.187398	0.230137	-0.216987	1.308495	-0.111781	0.595069	-0.555617	-0.447124	0.279452	2312.291807	1590.729044	-10.961113	25.532094	25.729355	14.012077	2.863566	-8.903028	8.814260	12.664129	4.970967	3.287676	12.480019	15.889340	6.118366	-1.673427	12.174265	24.000037	7.801656	-6.312339	-1.127673	25.581410	10.132618	22.819761	15.399476	19.860853	8.896452	14.077830	18.019754	19.374277	0.355069	30.539225
13:26:26:581	461.129483	0.410960	-0.170959	0.013151	-0.062466	-0.397809	0.026301	-0.029589	-0.387946	0.279452	-0.243288	0.299179	0.006575	0.095343	-0.167671	-0.604932	-0.111781	0.470138	-0.276165	0.769316	-0.558905	0.134795	0.483288	0.282740	-0.696987	-0.519453	1.962743	-0.299179	0.595069	1.002741	0.101918	0.552330	2380.760955	1586.603010	-2.755073	7.910149	11.783032	25.075107	18.881125	25.357848	10.208235	28.918401	9.050973	-8.932617	22.418665	11.595634	18.371535	-0.302466	8.064670	8.304670	9.179192	8.515082	-1.127673	11.815909	-12.374814	-5.529872	19.417016	14.294817	3.488225	22.224692	-3.235074	23.635105	7.071792	10.346317
