# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181202\5012.dat																																																															
																																																																
Log date:	Sonntag, 02.Dezember 2018	Log time:	14:31:12																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
14:34:11:311	454.886185	0.167671	-0.805481	-0.220274	-0.118356	0.470138	-0.470138	-0.210411	-0.193973	-0.190685	0.838357	-0.062466	0.069041	-0.341918	0.430686	-0.019726	0.049315	-0.016438	0.019726	0.348494	-0.391233	0.269589	-0.453699	-0.124932	0.328768	0.180822	0.046027	-0.595069	-0.532604	-0.364932	-0.174247	-0.476713	1486.440663	1570.424355	4.961104	17.240575	4.050417	23.293187	12.933719	7.656998	3.110142	-3.731513	2.689319	8.686041	0.519453	11.503579	9.047685	21.570444	-4.928227	3.471786	4.602747	2.393428	-0.259726	11.687689	0.410960	-8.347410	7.808231	1.476167	13.012623	7.111244	10.497551	7.893711	-13.693172	-7.144121
14:34:11:322	454.235225	0.263014	0.355069	0.240000	-0.118356	0.470138	0.332055	0.391233	-0.286028	0.387946	0.108493	0.207124	-0.345206	-0.243288	-0.332055	-0.387946	-0.881097	0.558905	0.019726	0.253151	0.157808	0.269589	-0.164384	0.716713	0.049315	0.282740	0.141370	0.164384	-0.138082	-0.913974	0.006575	0.249863	1543.958560	1610.224964	6.328777	18.598385	8.222479	3.909047	23.608804	9.031247	17.030163	13.870706	6.769326	8.686041	6.210421	4.346308	15.849888	-0.358357	4.645487	3.471786	3.244937	27.994564	-15.912353	7.551793	-19.298660	7.236176	-2.939183	16.813177	-3.185758	11.191250	11.917827	6.473435	35.904713	6.322202
14:34:11:331	456.092763	0.631234	-0.128219	-0.312329	0.236713	0.069041	0.134795	0.792330	-0.466850	-0.575343	0.292603	0.476713	0.588494	-0.046027	0.430686	-0.480001	0.141370	-0.302466	-0.075617	-0.032877	0.249863	-0.549042	-0.259726	0.062466	-0.318905	-0.325480	0.328768	0.256439	-0.532604	0.095343	-0.266302	0.069041	1459.044456	1570.424355	13.170431	0.969865	16.606053	10.839469	10.257550	25.469629	15.636189	7.104669	-4.089869	1.903565	13.308514	5.776447	-0.483288	17.450986	0.532604	14.899749	11.497004	-0.302466	11.118921	21.317293	0.410960	7.236176	1.098084	11.230702	4.921651	13.913446	14.732078	16.408793	14.452625	11.713991
14:34:11:341	453.212758	-0.387946	-0.223562	-0.128219	0.147945	0.069041	-0.069041	-0.210411	-0.286028	0.292603	-0.164384	-0.509590	-0.243288	-0.440549	0.240000	-0.480001	0.608220	-0.302466	0.019726	-0.128219	-0.118356	0.085480	0.516165	-0.591782	0.236713	-0.831782	-0.233425	-0.121644	0.161096	-0.272877	-0.631234	-0.749590	1480.953531	1538.816634	13.170431	-1.745756	8.222479	20.518388	-8.419739	-1.952880	10.060290	15.225229	18.986331	10.047139	-0.884385	24.368257	-1.847674	3.741376	10.106317	-6.509599	-2.252058	26.646617	9.692070	17.201123	3.228498	5.815899	23.934284	7.042203	-9.922207	9.830152	4.826309	12.151252	6.414257	11.713991
14:34:11:405	457.207285	0.263014	0.647672	-0.036164	0.059178	0.069041	0.032877	0.088767	-0.378083	0.003288	-0.164384	-0.243288	0.174247	0.055890	-0.236713	0.440549	-0.417535	0.078904	-0.075617	-0.696987	-0.118356	-0.187398	-0.259726	0.249863	0.049315	-0.121644	0.516165	-0.213699	-0.433973	-0.272877	-0.266302	0.157808	1463.160627	1492.118480	-12.785773	9.097000	9.619741	-0.230137	0.920549	-6.052612	5.898091	11.155086	13.548514	5.967133	7.633984	11.503579	10.412071	14.705776	18.328796	22.024144	-0.874522	3.744663	-14.488790	10.310153	10.254262	4.415349	7.808231	-11.069606	0.867947	7.111244	14.732078	0.815344	-1.624112	11.713991
14:34:11:405	460.176057	-0.111781	-0.029589	0.055890	-0.207124	-0.433973	0.134795	-0.210411	-0.193973	0.772604	0.200548	-0.243288	-0.345206	-0.637809	-0.618083	-0.572056	0.049315	0.078904	0.309042	-0.032877	-0.026301	0.177535	0.029589	0.716713	-0.226850	-0.325480	-0.138082	0.069041	-0.532604	-0.088767	-0.082192	-0.023014	1504.233567	1525.080723	11.802758	15.882764	-7.107956	-1.614249	-1.755619	14.505228	5.898091	1.676715	6.769326	4.606035	1.943017	30.075663	-3.212060	-1.732605	8.755082	12.042758	0.506302	6.443846	3.994527	8.929329	1.818085	14.337556	9.152891	8.439465	18.401124	8.472342	20.406607	10.730976	10.441660	6.322202
14:34:11:405	463.983186	1.006029	-0.516165	-0.036164	0.680549	-0.637809	0.032877	0.187398	-0.105206	0.003288	-0.072329	-0.243288	-0.036164	0.453699	0.049315	-0.572056	0.141370	-0.111781	0.019726	0.062466	0.614795	0.085480	0.128219	0.062466	-0.042740	-0.121644	0.608220	0.256439	0.062466	-0.364932	-0.174247	-0.111781	1506.978777	1544.320205	2.225757	21.294280	22.175377	3.909047	20.952361	-7.426861	14.242214	7.104669	16.267423	11.408237	-0.884385	21.504691	6.318914	-9.951796	-6.299188	16.310162	-9.126590	19.916743	1.163837	28.208263	1.818085	-8.347410	-4.283842	2.873429	4.921651	8.472342	3.406033	2.235620	9.100288	0.946851
14:34:11:405	460.363454	-0.111781	-0.029589	-0.036164	0.325480	-0.032877	-0.769316	0.088767	0.164384	0.292603	-0.164384	-0.690412	0.693700	0.253151	-0.236713	-0.572056	0.328768	0.368220	-0.654248	-1.269043	0.522741	-0.368220	0.223562	0.249863	0.236713	0.486576	-0.792330	-0.121644	-0.138082	0.276165	0.463562	0.249863	1459.044456	1498.976573	9.064124	2.327675	-5.710694	-14.067967	6.266311	24.098668	10.060290	15.225229	14.909612	11.408237	-5.155076	2.912881	14.485502	13.351254	-3.560553	-2.225757	11.497004	7.791793	12.542485	22.694830	21.504691	-1.265755	-0.246576	-4.106308	6.256448	17.996740	7.660286	17.829069	10.441660	7.670149
14:34:11:406	454.051116	-0.387946	-0.029589	-0.036164	-0.118356	-0.535891	0.433973	-0.210411	1.068495	-0.095343	-0.526028	-0.420823	0.276165	0.154521	-0.046027	0.348494	-0.417535	0.174247	-0.269589	0.157808	0.338631	-0.276165	0.128219	-0.124932	0.141370	-0.325480	-0.325480	0.637809	-0.433973	0.095343	-0.539179	-0.203836	1511.094948	1461.888296	18.621399	2.327675	2.653155	9.452069	18.279480	-6.052612	14.242214	-10.517277	-10.885496	7.328231	1.943017	2.912881	3.590143	6.486585	7.384121	-6.509599	-0.874522	19.916743	6.844942	0.680549	11.661388	7.236176	-8.301383	-1.315071	17.066328	3.047676	-3.662471	3.652608	9.100288	2.294798
