# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181213\5017.dat																																																															
																																																																
Log date:	Donnerstag, 13.Dezember 2018	Log time:	17:10:41																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
17:10:31:667	22.224692	0.894248	0.539179	0.456987	0.407672	0.720001	0.522741	0.887673	0.141370	0.539179	-0.026301	-0.069041	0.032877	0.545754	0.049315	-0.930412	-0.118356	0.009863	0.253151	0.325480	-0.946851	0.095343	-0.065754	0.302466	0.407672	-0.338631	2.679456	0.785755	0.000000	0.493151	0.101918	-0.032877	3455.360978	4773.456174	-2.271784	4.198363	32.396763	17.513452	25.347985	8.709055	2.830689	5.776447	7.236176	15.116736	-2.482196	6.641106	-4.632336	9.494809	-13.117829	16.809889	-11.355634	16.168792	31.052103	26.705795	3.215347	19.259208	1.522194	5.898091	-3.221923	12.026320	12.762760	16.481121	8.314533	17.786329
17:10:31:677	22.316747	0.894248	-0.039452	0.364932	0.230137	-0.187398	-0.979728	0.384658	-0.039452	0.249863	-0.026301	-0.157808	-0.693700	0.151233	0.147945	0.174247	-0.118356	0.105206	-0.325480	0.230137	-0.309042	0.276165	-0.358357	0.210411	-0.147945	-0.844933	2.117264	-0.253151	0.496439	0.401097	-0.082192	0.604932	3441.664519	4770.704389	4.569870	-2.570963	4.517267	28.579770	18.683865	10.080016	26.488808	3.064114	4.517267	-6.608229	-23.786338	29.526621	-7.361107	16.339751	26.554562	-0.292603	-3.103566	14.837283	12.555636	-0.815344	10.241112	13.601117	14.955640	3.106854	-14.012077	10.684948	8.508506	2.311236	16.369340	-18.555645
17:10:31:688	22.964419	0.243288	-0.233425	-0.003288	0.318905	0.417535	0.223562	-0.016438	0.322192	0.443836	0.335343	0.108493	-0.486576	-0.545754	0.147945	-0.193973	0.348494	0.394521	-0.131507	-0.433973	0.059178	0.095343	-0.358357	0.210411	0.223562	0.164384	2.025209	-0.161096	0.595069	0.950138	0.374795	0.243288	3395.107734	4777.582208	30.526075	32.666352	-9.432343	18.900851	3.997814	-13.219747	16.730985	9.826865	5.878365	-2.544661	23.089351	22.366062	19.864140	-0.095343	21.093731	-1.719455	17.516740	9.442206	-21.567157	15.701942	11.648237	5.079460	12.263033	3.106854	-0.519453	18.828522	7.091518	6.568777	5.644940	-5.092611
17:10:31:697	23.059762	0.894248	0.637809	0.456987	0.407672	-0.187398	-0.177535	-0.118356	0.503014	0.249863	-0.299179	0.558905	-0.177535	0.447124	-0.236713	-0.009863	-0.397809	0.966577	-0.710138	0.706850	-0.213699	0.460275	1.098084	-0.256439	0.128219	0.368220	1.742468	0.029589	-0.197261	0.585206	0.193973	0.424110	3441.664519	4784.443588	5.937543	35.381973	-5.260282	7.834533	20.021949	11.434538	4.204938	13.897008	-3.619732	27.340316	17.418109	26.663055	-3.287676	16.339751	8.784671	-1.719455	34.040601	10.790154	6.861381	15.701942	17.283314	19.259208	13.607692	11.480566	18.361672	14.745228	-5.648228	17.901398	13.683309	-5.092611
17:10:31:760	23.894832	0.986303	-0.427398	0.364932	-0.124932	0.519453	-0.378083	0.683837	-0.039452	0.249863	0.335343	-0.249863	-0.072329	0.447124	0.338631	-0.193973	0.253151	0.299179	-0.516165	-0.151233	-0.124932	0.549042	-0.065754	0.489864	-0.055890	-1.048769	2.212606	-0.161096	0.693700	0.585206	0.374795	0.332055	3480.011975	4737.738858	18.233453	-7.998917	29.625251	10.586318	-9.350151	-9.120014	-4.139185	0.351781	9.955084	4.254253	17.418109	16.661944	14.429611	-2.840552	8.784671	-3.149594	-8.617000	22.911816	6.861381	19.834551	-6.627955	9.340288	10.918373	-2.459182	4.869049	1.160550	0.023014	9.386316	15.027969	21.830171
17:10:31:760	22.872364	0.430686	0.348494	0.088767	0.318905	0.115069	-0.078904	-0.016438	1.045481	0.151233	0.700275	0.647672	0.654248	-0.246576	-0.236713	-0.654248	-0.210411	-0.180822	-0.805481	0.420823	-0.309042	0.095343	-1.035618	-0.539179	-0.983015	0.164384	1.929866	-0.253151	1.088221	-0.059178	0.193973	0.059178	3438.922596	4759.713687	15.498106	-2.570963	24.036202	24.424147	2.663018	-21.458663	16.730985	-17.247150	19.453181	8.317821	11.727141	15.228517	34.852657	-12.430704	6.042749	-6.006585	12.023032	9.442206	8.284944	18.457015	4.622473	26.360589	4.211513	-2.459182	29.151826	1.160550	12.762760	47.641718	-1.068495	1.647126
17:10:31:760	23.431269	0.335343	0.348494	1.009317	0.407672	0.115069	-0.476713	0.585206	0.230137	-0.328768	0.062466	0.558905	-0.384658	0.447124	-0.332055	0.174247	0.440549	-0.276165	-0.036164	0.420823	-0.124932	0.821919	0.226850	0.394521	0.315617	-0.036164	1.837811	0.503014	0.098630	0.309042	-0.082192	-0.305754	3445.780689	4756.961902	12.759472	32.666352	-5.260282	27.195659	13.338103	-10.494263	13.962761	11.184675	-0.900823	21.899212	-2.482196	6.641106	32.123885	-5.585762	-3.527677	2.544661	1.032330	13.489336	1.183563	-3.550690	20.081127	-11.921114	2.866854	15.649339	-3.221923	40.556775	5.674529	12.226868	13.683309	29.901416
17:10:31:761	22.688254	0.522741	0.539179	0.180822	-0.124932	0.618083	0.624659	-0.016438	0.772604	0.055890	-0.299179	0.289316	-0.384658	0.151233	0.147945	-0.009863	-0.397809	0.489864	0.157808	0.420823	-0.032877	0.095343	-0.647672	0.115069	-0.147945	-0.240000	1.837811	-0.253151	0.595069	1.134248	-0.355069	0.516165	3429.339020	4754.229843	16.865780	2.840552	12.881116	9.198918	-0.009863	4.589596	0.042740	13.897008	16.734273	9.678919	-12.424129	13.798378	14.429611	6.749600	3.304115	6.831791	13.400569	25.610999	5.454255	3.317265	-9.445494	-11.921114	-6.529325	7.292066	7.571519	9.323850	15.596737	10.806592	8.314533	15.110160
17:10:31:761	22.872364	0.706850	0.249863	-0.463562	0.407672	-0.187398	0.124932	-0.417535	0.230137	0.828494	0.881097	0.108493	-0.072329	-0.644385	-0.141370	0.174247	-0.023014	0.585206	0.253151	0.420823	0.240000	0.276165	0.226850	0.489864	0.223562	0.772604	2.117264	0.220274	1.186851	0.766029	0.193973	-0.394521	3437.548348	4755.607379	4.569870	-6.644394	5.914530	6.447133	26.686069	7.334806	12.568787	-6.414257	19.453181	1.535345	10.303578	18.092083	-0.558905	-23.395105	32.035118	5.401652	10.642208	-1.331509	-14.465776	11.566045	17.283314	10.760565	16.300299	-6.644394	0.831782	14.745228	2.856991	30.654294	0.276165	7.019189
