# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181214\5008.dat																																																															
																																																																
Log date:	Freitag, 14.Dezember 2018	Log time:	11:07:25																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
11:07:14:880	0.407672	0.440549	0.558905	0.440549	0.529316	0.351781	-0.095343	-0.144658	0.335343	0.338631	-0.131507	-0.621371	-0.315617	0.233425	-0.493151	-0.946851	0.410960	-0.016438	0.174247	-0.746303	-0.476713	0.601645	-0.470138	0.151233	0.049315	-0.174247	0.690412	-0.032877	0.506302	0.325480	-0.384658	-1.002741	2539.966681	4458.740069	4.155623	8.186314	7.292066	-7.597820	3.254800	16.448245	37.778689	19.814825	14.962215	9.701933	3.761102	-17.260301	-0.480001	6.263023	8.051519	14.137008	12.253170	5.437817	2.327675	-13.781939	3.872883	4.980830	2.245483	13.538651	14.074542	19.614277	20.334278	18.470166	14.166597	5.575899
11:07:15:906	0.128219	0.720001	0.460275	-0.023014	0.088767	0.453699	-0.095343	-0.046027	0.516165	-0.046027	-0.131507	-0.263014	0.618083	0.032877	0.177535	-0.486576	-0.706850	-0.687124	-0.404384	0.203836	0.072329	0.512878	-0.177535	-0.223562	0.049315	0.433973	-0.055890	-0.410960	0.407672	-0.407672	-0.568768	0.361644	2526.289947	4439.546615	9.600015	-8.061382	3.126580	-6.233434	11.243853	-2.728771	1.647126	3.580280	-16.221395	17.835644	0.940275	25.545245	2.242195	3.521101	14.889886	7.002751	16.385779	10.826318	-17.543041	12.299197	6.687134	-16.247696	-13.854268	-5.957270	5.996722	19.614277	52.836246	15.655915	19.528797	-15.922216
11:07:15:906	0.036164	0.627946	-0.118356	-0.295891	0.266302	0.052603	-0.197261	-0.046027	0.335343	-0.240000	0.141370	0.006575	0.098630	-0.164384	-0.302466	-0.854796	-0.240000	-0.302466	0.463562	0.966577	-0.111781	0.151233	-0.664111	-0.315617	0.141370	0.131507	0.690412	-0.032877	0.802193	-0.039452	0.072329	-0.364932	2534.489412	4453.266088	16.431806	6.828504	25.410450	-6.233434	15.248243	4.129321	15.547421	-1.818085	17.658110	0.213699	13.709610	1.285481	7.673437	7.633984	2.597264	7.002751	-4.224664	1.416989	-3.360005	19.180304	6.687134	-2.087674	25.038943	17.700849	23.500310	30.463609	0.532604	15.655915	18.187425	19.015920
11:07:15:907	0.128219	0.907399	-0.407672	0.440549	0.529316	-0.351781	-0.496439	-0.046027	0.785755	0.433973	0.230137	0.456987	-0.940275	-0.065754	-0.207124	-0.210411	-0.055890	-0.782467	0.364932	-0.364932	0.345206	-0.305754	-0.858084	-0.598357	-0.230137	0.233425	0.410960	0.062466	0.309042	0.233425	0.256439	0.180822	2513.980887	4449.143342	-8.117273	12.253170	12.874541	7.584669	13.913446	17.819206	-2.528223	6.289325	4.103020	12.420841	-0.480001	21.277841	3.586855	-1.943017	23.079488	12.710157	27.376481	-1.278906	30.733198	5.441104	10.888784	21.974829	2.245483	10.750702	22.149075	22.333185	7.610971	15.655915	-25.998944	-13.229610
11:07:15:907	0.407672	0.907399	0.654248	-0.387946	0.088767	-0.351781	-0.295891	0.555617	-0.476713	-0.240000	-0.315617	0.006575	-0.108493	-0.065754	-0.969865	-0.486576	-0.055890	-0.302466	-0.115069	0.108493	-0.203836	0.151233	0.404384	-0.410960	-0.138082	0.940275	0.410960	-0.410960	0.111781	0.049315	0.437261	-0.003288	2496.210997	4440.920864	27.337029	14.942489	3.126580	20.018661	16.583039	15.077284	15.547421	-1.818085	-10.793441	0.213699	17.954000	5.572611	9.034535	4.892062	17.605507	-0.108493	4.033979	4.109595	-11.871799	-9.672344	10.888784	-3.507951	16.980848	10.750702	15.422490	7.410422	3.363293	25.555108	47.625279	20.363867
11:07:15:907	0.128219	0.348494	0.170959	0.348494	0.177535	-0.854796	0.404384	0.154521	0.062466	-0.046027	0.595069	-0.355069	-0.522741	0.032877	-0.397809	-1.038906	-0.614795	-0.397809	-0.019726	0.203836	-0.752878	0.332055	-0.082192	-0.315617	-0.042740	-0.272877	0.595069	-0.032877	-0.088767	-0.039452	-0.292603	0.361644	2509.871292	4431.324136	9.600015	-10.753989	14.268515	-3.465211	11.243853	10.964401	7.196723	2.245483	19.015920	-7.936451	5.184666	1.285481	-1.844386	14.469064	8.051519	22.675104	-2.850415	20.238936	27.889358	19.180304	-12.989609	10.652071	18.325508	10.750702	-3.429046	-11.566045	9.027959	25.555108	10.142481	4.231239
11:07:15:907	0.128219	-0.115069	-0.795618	-0.759453	0.355069	-0.147945	-0.295891	-0.345206	0.243288	-0.624659	0.595069	0.184110	-0.940275	0.332055	0.177535	0.065754	-0.614795	-0.302466	0.463562	0.489864	0.253151	0.059178	-0.371507	0.151233	0.325480	-0.680549	0.690412	-0.979728	0.309042	0.509590	0.072329	-0.364932	2537.228047	4435.427156	8.235629	13.587966	15.662490	-10.366043	-10.073440	-4.099732	-3.922198	4.934802	1.407125	19.193454	10.869058	2.712333	11.760018	-12.890979	24.447161	14.137008	10.878921	22.931542	-14.718927	15.050982	30.565527	3.563841	-3.126580	7.962752	10.043851	-2.077811	21.751267	-4.165486	-0.562193	4.231239
11:07:15:907	-0.430686	-0.023014	-0.118356	-0.203836	0.088767	-0.249863	0.003288	-0.144658	0.516165	-1.009317	-1.042193	0.545754	-0.003288	0.032877	-0.302466	-0.210411	-0.147945	-0.016438	-0.499727	0.394521	-0.476713	-0.394521	0.210411	-0.131507	-0.414247	-0.174247	0.410960	0.345206	1.397262	-0.223562	0.256439	0.272877	2508.520057	4414.859453	16.431806	-1.285481	12.874541	-13.130979	-11.408237	6.871244	18.312357	6.289325	13.604405	25.985794	3.761102	25.545245	4.947953	26.787987	2.597264	2.745210	27.376481	22.931542	2.327675	-0.062466	24.937025	4.980830	12.969883	2.406579	-14.202762	3.336991	-10.773715	35.454302	7.479464	17.671260
11:07:15:907	-0.338631	0.532604	-0.213699	-0.575343	0.088767	-0.147945	0.404384	0.154521	0.604932	-0.335343	0.414247	-0.443836	0.098630	-0.266302	-0.493151	0.433973	-0.519453	-0.207124	-0.210411	0.394521	-0.295891	-0.394521	-0.082192	0.618083	0.233425	-0.272877	0.223562	-0.223562	1.397262	0.325480	-0.568768	0.634522	2534.489412	4436.801405	1.426852	-2.640004	5.898091	-4.849323	44.554590	12.335362	-1.137536	14.416461	13.604405	-33.688819	-3.323841	32.692653	6.309051	-4.684939	18.973180	29.786348	8.123848	-1.278906	42.092120	16.428519	-10.175358	16.303587	6.256448	27.461960	19.469619	10.126043	16.086600	17.072903	7.479464	29.766622
