# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181214\5016.dat																																																															
																																																																
Log date:	Freitag, 14.Dezember 2018	Log time:	16:59:13																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
16:59:02:942	553.835380	0.677261	0.433973	0.440549	0.759453	0.009863	0.216987	0.174247	-0.131507	0.913974	0.059178	0.157808	-0.009863	-0.078904	0.049315	-0.167671	0.378083	-0.177535	0.207124	0.338631	-0.003288	0.555617	0.703563	0.815344	1.186851	0.503014	2.061373	0.062466	0.374795	0.338631	0.391233	0.348494	3878.011497	2149.538678	13.226322	-2.735347	11.681114	30.286074	0.236713	17.950713	22.326610	7.726039	8.455904	8.922754	7.150696	3.504663	9.018096	15.202215	5.289871	-10.898647	14.150159	-3.958362	-1.620824	33.567175	11.082757	21.192362	5.888228	6.867956	3.912335	11.171524	4.776994	14.386872	5.845489	1.015892
16:59:03:050	550.212361	0.585206	0.433973	0.535891	1.203290	1.219728	0.920549	0.374795	0.138082	1.203290	0.693700	0.696987	0.509590	-0.476713	0.335343	-0.259726	0.286028	0.013151	0.881097	0.338631	0.364932	0.739727	0.703563	0.440549	0.999454	-0.207124	2.432880	0.348494	-0.121644	0.614795	0.026301	0.440549	3836.941844	2186.603941	18.697015	4.050417	15.872901	35.809371	13.581391	13.831254	-5.490419	17.204410	8.455904	4.862473	8.574260	7.801656	-11.401662	26.183054	14.860297	-10.898647	38.919512	8.163300	2.633429	15.692079	-7.190148	31.107993	13.939748	5.470693	16.053724	1.670140	18.933728	12.986322	20.594005	18.499755
16:59:03:051	547.335644	0.956714	1.305208	0.164384	0.670686	0.917262	0.618083	0.976440	0.591782	1.104659	0.059178	0.874522	0.302466	0.019726	0.716713	-0.078904	-0.180822	0.588494	-0.177535	0.052603	0.821919	1.012604	-0.170959	0.535891	0.907399	0.604932	2.432880	0.726576	0.374795	0.157808	0.026301	0.440549	3835.570883	2163.254864	-1.781921	2.692607	-12.026320	17.832356	13.581391	17.950713	-4.096445	-5.819187	26.107438	2.143565	5.727132	3.504663	0.854796	16.576464	20.340853	-5.187953	8.656452	6.815353	-0.216987	21.185786	-17.030163	7.015901	20.646607	-11.257004	3.912335	7.091518	18.933728	27.136480	23.276748	-0.328768
16:59:03:051	550.307703	0.677261	1.111235	0.256439	0.404384	0.614795	0.519453	0.075617	0.322192	0.430686	-0.032877	0.874522	0.923837	0.019726	0.621371	-0.627946	0.193973	0.302466	0.687124	0.624659	0.180822	0.555617	-0.075617	0.535891	-0.019726	-0.611508	1.686578	0.062466	0.473425	0.522741	0.302466	0.802193	3809.548925	2194.856009	3.672334	23.013734	3.320553	-1.545208	-2.416442	1.495893	-5.490419	22.609350	15.251531	7.564943	-11.306319	19.232907	6.289325	17.947425	3.918910	3.363293	12.769335	13.541939	-1.620824	18.447152	-10.007687	-0.062466	-3.504663	5.470693	10.668510	11.171524	18.933728	8.732068	4.500829	21.195649
16:59:03:051	550.491813	0.864659	0.529316	0.440549	0.049315	0.815344	-0.184110	0.673974	0.049315	0.818631	-0.124932	0.696987	0.923837	0.516165	0.335343	0.200548	0.473425	0.683837	0.111781	1.098084	0.364932	0.374795	-0.364932	1.002741	0.535891	0.197261	2.061373	0.253151	0.177535	1.071782	0.391233	-0.470138	3858.847632	2198.962316	13.226322	2.692607	-16.198381	-1.545208	13.581391	9.734810	8.426314	13.134267	15.251531	33.366627	24.203873	17.799480	-4.602747	-2.600552	-7.019189	3.363293	40.297049	1.420276	14.005501	11.559470	-8.597274	7.015901	20.646607	4.073431	5.263570	15.251531	11.845498	21.481677	20.594005	10.431797
16:59:03:051	553.835380	0.493151	0.338631	0.256439	0.670686	0.917262	0.118356	0.775892	0.953426	0.335343	0.240000	0.874522	0.614795	0.318905	-0.335343	-0.259726	0.752878	-0.463562	0.207124	0.526028	0.364932	0.105206	0.410960	0.161096	0.627946	0.095343	2.807676	-0.220274	0.670686	0.706850	0.483288	0.259726	3857.476671	2207.217672	0.933700	8.104122	7.509053	6.766038	-19.772085	6.989600	20.952361	11.776457	28.826346	6.203845	7.150696	2.094250	9.018096	-6.720010	18.969892	-0.920549	5.917817	12.190704	-3.044388	28.073468	-8.597274	-14.242214	12.595088	20.804416	13.370980	16.612629	0.526028	27.136480	1.814797	-15.136462
16:59:03:051	555.689629	1.236166	-0.049315	0.164384	0.404384	0.210411	0.420823	0.775892	0.230137	0.529316	0.604932	0.246576	0.923837	0.019726	1.002741	0.200548	0.286028	0.588494	0.687124	0.526028	0.456987	0.374795	0.798905	0.440549	0.723289	0.197261	2.245483	0.535891	0.966577	0.338631	0.664111	0.259726	3810.919886	2200.339853	15.961669	2.692607	13.078376	21.991267	6.920559	5.615351	7.032340	2.301373	16.612629	14.363858	-4.214801	20.663046	-1.873976	26.183054	8.028506	-2.350689	1.781921	16.237833	28.227989	15.692079	6.874531	2.774799	8.561109	20.804416	-4.172061	11.171524	0.526028	14.386872	13.880569	9.083850
16:59:03:051	553.927435	0.864659	0.433973	-0.016438	0.315617	0.009863	0.920549	0.877810	1.223016	0.335343	0.512878	-0.023014	-0.424110	0.417535	-0.144658	-0.259726	0.936988	0.493151	0.591782	-0.138082	0.545754	0.286028	0.410960	0.256439	0.167671	-0.207124	2.899731	0.535891	-0.220274	0.614795	0.026301	0.259726	3853.360500	2150.896488	7.775355	2.692607	22.836200	21.991267	10.908510	2.870141	9.820289	15.846600	0.318905	3.504663	0.055890	3.504663	-16.859204	-8.090971	8.028506	-0.920549	11.391798	-5.306310	11.158373	18.447152	39.215403	9.853166	4.543569	-4.280555	-8.225766	35.615398	-3.708499	4.474527	3.159457	11.779744
16:59:03:051	559.963609	0.585206	0.917262	0.256439	0.848220	0.614795	0.118356	0.673974	1.042193	0.144658	0.332055	0.604932	1.029043	0.913974	0.907399	-0.535891	0.098630	0.588494	1.456441	0.907399	0.180822	0.739727	0.023014	0.440549	0.907399	0.604932	2.995073	-0.220274	0.670686	0.065754	0.575343	0.167671	3849.267343	2211.323979	-3.149594	1.334797	21.438937	-8.455904	29.602238	0.124932	8.426314	7.726039	17.970439	23.865243	12.841664	3.504663	10.382482	17.947425	23.079488	-5.187953	0.404384	14.889886	-1.620824	34.944712	5.467406	22.609350	3.198909	-0.111781	-0.121644	8.452616	16.099751	28.553469	1.814797	-8.396725
