# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181214\5021.dat																																																															
																																																																
Log date:	Freitag, 14.Dezember 2018	Log time:	18:26:17																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
18:26:07:741	-2.968772	1.410413	0.282740	0.430686	0.552330	0.309042	0.910686	0.864659	0.042740	0.565480	1.173700	0.374795	0.864659	0.897536	0.687124	-0.549042	1.275618	0.644385	1.094796	1.246029	1.712879	0.463562	-0.026301	0.240000	0.404384	-0.325480	2.492059	0.414247	0.243288	0.670686	0.496439	0.299179	7710.925938	3752.353220	5.431241	3.307402	21.484965	10.898647	-4.783569	17.023588	3.182471	-11.250428	2.179729	5.194529	22.885515	-12.065772	3.899184	24.207161	13.229610	-6.529325	18.414275	8.692616	4.224664	8.561109	-7.002751	19.634003	8.873438	2.748497	6.890970	14.863585	0.992878	7.749053	12.841664	30.115115
18:26:07:751	-2.505209	1.038906	0.282740	0.798905	1.084933	0.808768	1.512331	0.864659	1.397262	0.470138	0.627946	0.913974	0.345206	-0.391233	0.493151	-0.088767	0.904111	-0.121644	1.094796	0.769316	0.890960	0.739727	0.654248	1.361098	0.591782	-0.121644	2.771511	-0.437261	-0.154521	0.578631	0.039452	0.115069	7657.511060	3660.334447	14.988516	6.003297	11.727141	-1.551783	-18.131535	33.481696	8.758370	3.652608	29.332648	7.896999	1.578085	10.796729	-20.617018	20.090990	-11.395086	12.000019	15.655915	8.692616	22.717843	20.942498	12.680568	35.234027	11.562758	-4.211513	16.329888	20.288251	-3.241649	10.586318	-3.231786	-10.270701
18:26:07:761	-2.692607	1.502468	-0.105206	0.890960	1.347947	-0.095343	0.108493	0.660823	0.946851	0.854796	1.265755	1.630687	0.345206	0.003288	0.588494	0.187398	0.716713	0.930412	0.420823	0.960001	0.706850	0.374795	-0.026301	1.361098	1.055344	0.585206	2.117264	-0.720001	-0.055890	0.854796	0.220274	0.660823	7654.765851	3689.183807	16.356190	-7.535354	17.316191	15.054270	-4.783569	-3.534252	21.281129	7.722752	13.035637	-13.827967	-2.689319	-0.634522	-1.558359	11.871799	5.007131	-17.934274	1.910140	-10.175358	-2.876717	4.444938	25.338122	5.473981	19.634003	-9.793988	2.837265	-2.801100	8.081108	6.328777	8.833986	28.767168
18:26:07:771	-2.413154	0.851508	0.476713	0.430686	0.374795	0.509590	1.111235	0.762741	0.496439	1.239454	0.447124	0.913974	0.036164	0.700275	-0.269589	-0.088767	0.532604	-0.026301	0.420823	0.009863	1.167125	0.647672	0.946851	0.798905	0.591782	-0.121644	1.929866	0.601645	0.835070	0.670686	0.769316	0.752878	7653.394890	3734.507713	12.253170	-0.766029	8.932617	-4.303568	15.228517	25.242779	10.152345	5.010419	15.754545	11.977005	-6.960011	15.093722	14.791256	24.207161	5.007131	2.021921	11.520018	16.767149	12.749609	7.203299	1.430139	12.555636	14.252077	6.933709	2.837265	-0.082192	5.247131	3.491512	8.833986	-0.854796
18:26:07:781	-3.156169	0.575343	0.476713	-0.213699	0.637809	0.808768	-0.190685	0.059178	0.673974	0.371507	0.720001	0.552330	0.345206	0.700275	0.782467	0.371507	1.183563	0.450412	0.420823	0.578631	0.157808	0.282740	0.364932	1.361098	0.683837	0.989591	2.679456	0.226850	0.243288	1.038906	0.861371	-0.246576	7672.585056	3683.680237	1.328221	-3.481649	31.265802	2.603840	4.553432	27.987989	-0.999454	-7.180285	22.533734	16.060299	10.096454	6.503024	-6.996175	-0.466850	14.577557	-3.692061	8.784671	8.692616	-8.574260	20.942498	-7.002751	18.233453	16.941396	5.539735	6.890970	25.729355	0.992878	20.498662	-5.917817	-2.202743
18:26:07:792	-2.692607	0.759453	0.378083	0.522741	0.552330	0.003288	0.108493	-0.141370	0.404384	0.470138	1.084933	-0.164384	0.657535	0.700275	0.397809	0.003288	0.716713	0.549042	0.230137	0.483288	0.706850	0.647672	-0.026301	0.240000	0.867947	0.585206	2.304661	0.887673	0.341918	0.213699	0.677261	0.299179	7643.808025	3693.293402	9.537549	12.789061	17.316191	17.825781	-4.783569	-2.160003	0.394521	13.130979	10.316728	2.475620	15.790709	12.230156	-9.724947	2.278360	-0.453699	-15.097010	25.285519	-6.128229	5.648228	47.082813	-12.637828	-0.207124	6.200558	1.351235	27.120042	14.863585	0.992878	2.074524	-1.887126	8.564397
18:26:07:801	-2.876717	0.200548	1.055344	0.430686	0.463562	0.003288	1.410413	0.263014	0.223562	0.950138	0.720001	0.013151	0.969865	0.999454	0.687124	0.095343	0.812056	0.450412	0.904111	0.387946	0.983015	0.374795	0.555617	-0.042740	0.683837	0.687124	2.771511	0.414247	-0.154521	0.029589	0.128219	0.480001	7643.808025	3712.532884	25.913465	-12.963308	21.484965	13.670158	13.890433	26.613740	7.364395	7.722752	14.396735	2.475620	12.943582	3.639458	12.062484	24.207161	-5.934256	2.021921	15.655915	23.497023	2.797813	14.071255	-4.185212	4.053705	-0.522741	-11.187963	2.837265	6.720010	19.403866	19.081673	4.806583	18.000028
18:26:07:812	-2.600552	0.480001	0.766029	0.983015	0.726576	-0.295891	0.309042	0.059178	0.854796	0.470138	0.627946	0.821919	0.036164	0.503014	0.302466	-0.549042	-0.026301	0.739727	-0.059178	0.864659	0.798905	1.009317	0.555617	0.240000	1.239454	-0.023014	2.679456	0.601645	0.341918	0.486576	0.953426	0.391233	7660.252982	3704.277529	8.169876	4.665213	8.932617	15.054270	16.566601	15.649339	-5.161652	3.652608	15.754545	9.258097	7.249326	9.366590	20.229072	2.278360	6.378092	2.021921	14.278378	12.720020	-1.453153	14.071255	1.430139	15.392901	14.252077	-1.440002	24.437298	-5.503570	5.247131	0.673974	-0.545754	13.956186
18:26:07:878	-2.321099	0.759453	0.476713	0.246576	1.259180	0.710138	1.009317	0.864659	0.673974	0.664111	0.627946	0.733152	0.450412	1.098084	0.687124	-0.549042	1.091509	0.355069	0.420823	0.769316	0.249863	0.920549	0.848220	1.173700	1.518906	0.789042	2.212606	0.318905	0.736439	0.486576	0.769316	-0.157808	7682.168633	3705.655065	10.905222	12.789061	15.918929	8.146862	-0.772604	3.310690	10.152345	23.963873	15.754545	9.258097	18.614823	9.366590	-4.287130	20.090990	22.800035	7.716176	32.176488	-2.100825	-22.796748	23.697571	1.430139	9.715084	2.166579	19.476195	2.837265	10.783578	20.824142	27.573741	-7.259189	9.912344
