# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181217\5004.dat																																																															
																																																																
Log date:	Montag, 17.Dezember 2018	Log time:	13:11:29																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
13:11:19:381	418.820376	0.858084	0.276165	-0.003288	0.509590	-0.483288	0.049315	0.555617	0.272877	0.108493	0.766029	0.223562	0.713426	0.983015	0.473425	0.309042	0.003288	0.207124	-0.443836	0.578631	0.621371	0.101918	-0.029589	0.006575	0.078904	0.078904	0.562193	0.023014	-0.384658	-0.394521	0.470138	-0.269589	2133.241666	2687.192115	-0.532604	-7.045490	3.915623	10.885496	15.402764	0.831782	-3.859732	1.535345	13.252623	8.659739	13.440021	2.603840	12.756184	4.629048	5.993434	9.116726	-0.960001	17.339205	-2.012058	2.778087	52.425287	15.600024	-0.016438	9.849878	-1.821373	0.618083	-11.980293	19.966058	16.790163	7.998917
13:11:19:391	420.398461	-0.161096	-0.401097	-0.371507	0.595069	0.220274	0.147945	-0.246576	0.092055	-0.180822	-0.049315	-0.673974	-0.118356	0.092055	-0.292603	-0.427398	0.095343	-0.078904	-0.539179	0.769316	-0.200548	-0.351781	0.456987	0.006575	-0.292603	-0.023014	0.374795	0.023014	-0.187398	0.157808	-0.167671	-0.088767	2103.152853	2705.004745	37.630743	-0.269589	23.424694	10.885496	0.743015	4.944665	12.821938	1.535345	9.198918	-6.259736	-14.919475	2.603840	-7.630697	4.629048	3.258087	11.950703	-35.303068	-1.479454	17.855370	4.152335	14.505228	1.446578	-13.426870	29.322785	4.924939	-7.509053	-4.901925	12.881116	8.748507	29.497032
13:11:19:401	417.150236	-0.069041	0.759453	0.180822	0.772604	0.019726	0.249863	0.256439	0.000000	-0.279452	0.131507	0.315617	-0.223562	0.092055	0.473425	-0.611508	-0.555617	0.111781	0.134795	-0.371507	0.348494	-0.078904	0.746303	0.286028	-0.292603	0.180822	-0.279452	-0.641097	-0.683837	0.157808	-0.075617	0.549042	2094.956675	2743.401517	56.728855	14.600571	-4.435075	12.269608	-36.562249	3.573704	4.471240	4.244390	17.322767	3.228498	-33.369915	-7.380833	18.200576	18.318933	11.464127	9.116726	12.762760	-4.172061	16.435094	12.387964	27.146343	15.600024	1.328221	-12.427417	4.924939	11.467415	4.987405	17.132081	11.427963	20.094278
13:11:19:411	414.832425	0.115069	-0.013151	0.088767	-0.200548	0.220274	-1.052056	-0.046027	0.723289	-0.085480	0.404384	0.585206	0.190685	-0.207124	0.473425	-0.243288	-0.088767	0.207124	0.039452	0.009863	0.072329	0.286028	0.069041	-0.180822	0.358357	-0.325480	0.562193	-0.072329	-0.581919	0.157808	-0.075617	0.456987	2179.722834	2715.992160	2.179729	18.667426	3.915623	23.319488	10.066865	-14.225775	5.861927	31.275665	2.413154	28.990730	16.283861	8.301383	19.561674	-0.838357	22.389076	0.562193	10.010974	17.339205	-3.435622	38.485539	17.299753	-16.941396	24.121681	11.224127	15.695367	7.410422	6.404393	14.298104	6.085489	-5.441104
13:11:19:421	411.955708	0.486576	0.276165	0.088767	-0.111781	0.526028	0.851508	0.756166	1.081646	1.167125	0.496439	0.134795	0.295891	0.588494	0.950138	0.128219	-0.276165	0.016438	0.424110	-0.562193	-0.200548	-0.259726	0.650960	0.473425	0.358357	0.180822	0.844933	0.305754	0.305754	-0.026301	0.289316	-0.177535	2096.324349	2720.091892	10.375907	-2.978635	8.097547	20.551265	-0.591782	-8.745219	25.328258	21.813732	17.322767	3.228498	2.094250	9.731522	23.628530	34.750739	15.550709	9.116726	-0.960001	24.075654	34.901972	8.258643	4.661925	24.108531	2.653155	-1.298632	-9.892618	19.614277	24.766066	-4.080006	14.107419	-4.093157
13:11:19:431	412.882832	0.302466	0.082192	0.641097	-0.381370	0.220274	-0.253151	1.357810	0.450412	-0.279452	0.039452	0.046027	-0.118356	0.588494	0.088767	0.493151	0.374795	0.207124	0.230137	-0.180822	0.072329	-0.805481	0.650960	0.752878	0.266302	-0.124932	0.003288	0.023014	-0.483288	0.522741	0.197261	0.003288	2092.218041	2742.027269	21.281129	13.262486	34.563341	5.352337	35.381973	6.315626	4.471240	24.522778	21.392910	12.733170	14.860297	-21.652636	24.989628	12.835088	11.464127	-2.271784	4.507404	17.339205	-11.967142	0.026301	0.460275	4.280555	1.328221	7.065216	6.272886	33.179230	7.821382	-9.744673	12.769335	7.998917
13:11:19:441	409.542553	0.486576	0.660823	0.180822	0.420823	0.526028	-0.650960	0.256439	-0.631234	-0.759453	0.585206	0.223562	-0.118356	-0.404384	0.282740	0.128219	0.282740	0.493151	0.230137	-0.276165	-0.108493	0.920549	0.552330	0.378083	0.170959	0.683837	0.095343	-0.167671	0.503014	0.249863	0.197261	0.003288	2082.650903	2700.905013	11.740292	7.844396	8.097547	3.968225	14.067967	32.301420	-16.366053	20.459210	11.894813	-10.313441	12.019745	16.878930	4.602747	-10.435085	12.812075	14.801119	12.762760	17.339205	22.122774	1.400550	-14.991804	25.505793	8.025218	23.746886	12.999472	11.467415	19.124413	-2.682744	22.132637	-47.105827
13:11:19:451	407.500906	0.207124	0.660823	0.272877	0.062466	-0.279452	0.147945	0.858084	0.542467	-0.180822	0.220274	0.223562	-0.325480	-0.207124	-0.387946	-0.519453	0.374795	0.588494	-0.634522	0.387946	-0.108493	-0.167671	0.358357	0.565480	0.913974	-0.226850	0.749590	0.213699	-0.088767	-0.483288	-0.532604	0.095343	2108.630121	2637.827655	26.725521	24.085517	5.309597	2.584114	3.412608	25.466341	4.471240	8.288232	36.282796	18.144686	-4.990693	18.305782	0.519453	23.802777	23.756749	-7.975903	8.633438	6.585216	32.058132	81.054372	10.287139	25.505793	17.404959	-9.639467	26.469082	-12.943582	17.710712	-8.327684	-3.297539	6.654257
13:11:19:516	408.059811	-0.069041	0.470138	0.180822	0.062466	0.121644	0.450412	-0.545754	0.450412	0.013151	0.404384	-0.404384	-0.016438	-0.305754	-0.387946	-0.427398	0.003288	0.111781	-0.055890	-0.085480	0.256439	0.193973	-0.029589	-0.085480	-0.197261	-0.023014	0.470138	-0.167671	0.207124	-0.026301	-0.440549	-0.634522	2084.021864	2673.475929	15.817011	15.955093	15.073996	23.319488	-17.901398	24.095380	7.252614	4.244390	14.607146	10.017550	-3.570416	24.003325	7.328231	6.000009	-11.769881	3.412608	8.633438	-1.479454	19.278934	23.372091	0.460275	17.020300	6.680558	0.095343	-1.821373	1.979181	-7.732615	80.781495	-4.635624	2.616990
