# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181203\Data001.txt																																																															
																																																																
Log date:	Montag, 03.Dezember 2018	Log time:	10:33:19																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
10:33:08:940	-53.306384	-52.921726	-52.175423	-55.762278	-61.611055	-66.055993	-77.967244	-116.633606	-198.684144	-159.192576	-155.267090	-44.426370	68.580928	128.656638	138.121858	128.147048	70.086684	-33.945258	-143.964059	-159.948741	-206.784978	-123.179369	-78.506423	-64.320100	-54.667482	-47.898157	-50.074598	-49.890488	-50.423092	-82.389169	-80.830810	-76.277379	194.301671	177.883016	189.064403	199.690173	181.131240	176.091232	200.788257	179.500553	181.700008	175.986027	176.055068	174.910956	173.168488	181.887406	175.318628	166.734505	175.453423	190.672077	203.240863	169.233139	181.561926	184.386040	188.219470	187.381113	170.919717	168.996427	176.318082	170.140538	189.731801	181.062199	180.536171	165.738339
10:33:08:949	-44.860344	-43.354588	-41.730476	-45.264728	-46.080072	-53.056521	-73.354634	-112.520723	-184.882479	-146.091186	-142.892277	-34.632383	77.822587	136.698294	144.332279	135.235278	76.231351	-28.392373	-138.667612	-158.426547	-198.644692	-117.363470	-75.981488	-61.982562	-52.632410	-47.391854	-46.336510	-46.862538	-49.630762	-60.848314	-61.837904	-59.072968	199.788803	176.505479	189.064403	173.941092	168.578892	184.382752	179.431511	169.907113	185.881932	171.915883	165.199160	176.272054	188.804677	176.160273	169.864373	179.073155	169.992593	160.741071	181.226583	186.753166	177.287946	187.141112	202.287437	177.462193	177.623289	185.707685	172.264377	179.645210	175.575067	171.149855	171.156430	175.154244
10:33:08:959	-45.974866	-44.561165	-43.568287	-46.093222	-51.935423	-53.559535	-79.170534	-108.907566	-192.730162	-150.135027	-147.623243	-37.867456	74.084499	133.124590	142.228166	131.829246	73.252716	-30.979774	-142.326796	-165.376695	-192.881395	-112.823189	-78.795739	-59.927764	-55.686662	-50.837339	-48.486651	-47.618704	-51.215422	-75.695460	-80.738755	-84.378213	187.463305	169.630948	191.799750	167.171766	175.565204	178.862743	184.760835	183.620011	178.912058	165.133407	182.853982	184.415629	193.072080	197.592635	165.771216	165.363544	191.878654	177.840276	188.101114	155.760242	174.437531	188.518649	158.696137	194.479206	174.953696	194.081397	177.669317	195.948797	174.158078	189.554267	177.850139	200.729079
10:33:08:969	-54.420906	-54.966661	-56.140361	-57.882830	-61.522287	-68.173256	-85.387530	-121.249503	-207.527993	-146.571186	-155.632022	-46.671853	65.983664	125.779921	135.636375	125.385400	67.203392	-37.009372	-146.949269	-158.331205	-206.143882	-116.728948	-82.678484	-67.407228	-56.985294	-54.177618	-50.728846	-47.618704	-49.532132	-84.312460	-85.121228	-78.187519	194.301671	177.883016	169.953140	182.064940	186.720290	173.323009	172.744378	187.739469	180.306033	184.103299	188.272073	177.633152	180.283019	177.593700	172.593145	173.579447	190.507693	170.719169	178.471510	178.655620	184.389327	220.152670	178.379455	171.800815	172.264377	160.642441	170.932868	174.220544	188.314813	182.479187	173.842462	173.806297
10:33:08:979	-49.038980	-45.583632	-45.406098	-46.093222	-51.402819	-62.025302	-77.868614	-112.320174	-196.701675	-145.223239	-144.986526	-35.980330	75.955186	134.811168	143.280222	133.394180	73.624224	-31.361145	-142.616112	-151.571742	-206.784978	-118.454978	-78.407793	-58.339817	-53.927755	-49.722817	-46.152400	-48.092129	-49.929940	-65.612157	-64.395716	-60.437354	192.950436	198.473733	156.296133	187.492894	195.084138	182.998640	196.777292	168.532864	178.912058	190.866050	167.918069	177.633152	178.862743	173.299995	193.012902	172.208486	175.453423	183.550970	182.604119	163.854501	185.812891	176.137260	198.062773	173.221091	166.882451	177.350412	166.879163	178.284112	185.480836	176.804658	176.525205	181.877542
10:33:08:989	-47.460896	-46.234592	-45.018152	-45.632948	-48.562267	-56.886664	-76.264228	-112.921819	-194.535096	-144.065977	-145.805158	-37.597867	75.537651	133.522399	142.418851	131.461026	73.719566	-30.309088	-139.440216	-156.996408	-191.602489	-122.452793	-86.847258	-63.573797	-54.762825	-49.518981	-49.328296	-49.795146	-53.092685	-77.986970	-88.497672	-95.668094	194.301671	186.115357	180.878089	179.369045	169.976154	187.154263	188.771800	172.652323	173.355885	175.986027	185.553165	173.549858	178.862743	177.593700	190.284131	179.073155	167.253958	169.289030	185.362479	180.006855	173.013967	180.253430	182.604119	167.543274	193.746054	160.642441	187.108236	187.805223	172.741090	181.062199	191.260571	171.110402
10:33:08:999	-54.144742	-54.036248	-53.237343	-54.197344	-60.457080	-67.768872	-74.459294	-116.232509	-216.999789	-152.354209	-150.171192	-42.000065	70.451616	128.955817	138.979942	128.791433	71.855454	-31.551830	-141.268164	-158.617232	-210.993204	-125.816086	-80.929441	-67.407228	-52.724465	-48.000074	-48.674048	-47.618704	-48.743089	-83.122321	-82.474649	-79.009438	184.721383	176.505479	198.641404	173.941092	185.323027	171.938897	176.755343	182.245762	169.173961	165.133407	177.416166	164.068200	167.497246	194.748795	180.756445	180.444116	193.246327	165.005188	170.219442	188.101114	173.013967	180.253430	174.151503	187.381113	178.967949	175.956437	158.791479	185.086315	162.835321	199.466611	181.877542	175.154244
10:33:09:009	-49.781995	-47.533224	-46.855963	-48.854870	-53.000630	-58.902009	-73.657101	-109.410581	-201.393189	-151.002974	-145.897213	-36.069097	75.642857	134.216099	143.089537	133.486235	74.649979	-30.404431	-140.403506	-158.712575	-195.077563	-120.361831	-72.782579	-55.440086	-50.498708	-48.101992	-47.178155	-47.904732	-49.236241	-68.363942	-67.956270	-66.992981	188.834266	184.741109	179.510416	182.064940	195.084138	181.614528	186.098919	195.958660	185.881932	171.915883	181.492884	160.004632	183.130147	180.457266	163.062171	179.073155	165.882997	230.604193	183.984943	165.202448	173.013967	195.389892	169.946565	177.462193	177.623289	177.350412	181.723022	179.645210	185.480836	188.137278	168.470398	187.269332
10:33:09:019	-46.717881	-46.139250	-44.630206	-46.185277	-50.781449	-58.902009	-76.264228	-116.834154	-193.995917	-153.123525	-148.353107	-39.126636	73.357922	130.842943	140.508711	129.343762	70.832987	-34.040601	-145.118033	-164.137241	-196.997566	-119.911419	-80.929441	-62.824207	-56.334334	-53.569398	-52.412136	-52.445013	-55.367757	-76.612722	-81.744784	-84.197391	203.901686	208.083611	175.423834	180.726856	195.084138	195.422769	178.093427	182.245762	169.173961	185.461110	188.272073	176.272054	184.553711	163.298884	182.120831	195.508249	169.992593	183.550970	168.841906	181.354802	178.711510	183.008503	191.037009	184.560286	176.298356	185.707685	174.966847	168.779440	157.164079	179.641923	222.105550	180.529595
