# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181220\Data002.txt																																																															
																																																																
Log date:	Donnerstag, 20.Dezember 2018	Log time:	15:27:29																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
15:27:18:945	-46.777059	-59.819271	-77.480668	-76.504228	-82.957937	-86.219312	-95.260422	-94.382612	-88.359589	-73.328333	-58.122830	-43.772123	-34.132656	-27.869632	-27.833468	-25.012642	-24.364969	-24.667436	-24.526065	-23.973736	-23.861955	-23.884969	-24.328805	-145.095020	-144.720225	-22.050445	-22.201678	-160.067098	-163.101623	-143.313099	-132.891165	-137.273638	2091.100231	1841.009980	6.795627	16.428519	50.455969	6.585216	30.608267	-10.816455	-12.795636	14.646598	7.104669	32.617037	-5.690968	5.628502	13.824679	-1.341372	6.996175	9.968235	-1.357810	25.574834	-11.309607	12.414266	21.054279	5.388502	-0.368220	5.569324	12.312348	7.929875	2.695895	-13.436733	2.975347	13.048787
15:27:18:955	-54.016522	-68.830792	-73.903676	-74.755184	-73.104771	-71.908057	-76.708064	-76.520667	-70.678466	-60.325573	-48.933775	-39.547459	-31.847721	-28.661962	-27.642783	-25.749081	-24.920587	-24.282777	-24.624696	-24.828532	-24.687162	-24.611545	-23.260310	-145.190362	-144.812280	-27.419221	-24.256476	-160.635866	-161.816142	-143.862141	-134.627058	-137.727337	1624.477041	1415.699731	4.060280	-1.186851	19.788524	21.774280	14.603858	9.721659	5.289871	3.823568	1.689866	17.704137	5.661379	4.198363	4.303568	8.242205	-9.392891	12.802212	5.487132	10.767140	39.820336	-48.059253	29.480594	15.317284	19.749072	4.175349	13.663583	7.929875	11.174812	20.528251	13.689884	113.888396
15:27:18:965	-55.597894	-69.297642	-76.803407	-78.624780	-79.052177	-80.676290	-80.216015	-79.634096	-74.646691	-69.281203	-60.486669	-46.106373	-37.561702	-32.534845	-27.738125	-26.485521	-26.597302	-26.482233	-26.741959	-25.686615	-25.693191	-25.518944	-25.394012	-145.002965	-147.038036	-26.709083	-24.910724	-160.635866	-162.999705	-142.760769	-134.627058	-138.184324	2156.794580	2304.772891	2.695895	19.140852	8.640013	9.333713	-2.715621	60.407765	16.412080	13.292075	12.535910	8.189602	1.416989	1.357810	-16.103039	2.755073	23.401680	15.655915	6.864668	20.202771	-5.638365	27.537577	1.387399	9.642755	2.317812	6.963298	12.312348	10.648784	-8.617000	29.033470	-7.739190	14.393447
15:27:18:975	-67.387502	-76.451625	-82.606156	-84.243418	-87.218765	-87.228629	-84.427528	-81.037934	-73.837923	-64.274072	-56.574334	-40.444994	-31.223062	-24.493189	-22.668528	-23.996750	-23.151817	-23.421406	-23.276748	-23.497023	-23.861955	-23.431269	-24.910724	-143.881867	-145.555294	-23.973736	-22.481131	-161.487374	-163.101623	-142.395837	-133.164042	-137.546515	1668.259027	1039.776956	25.890451	9.646042	8.640013	-15.527695	9.281110	19.308523	9.448782	6.512887	27.442234	-2.663018	2.837265	1.357810	5.664666	21.938664	12.470156	19.936469	13.752350	14.810982	44.087740	24.785792	77.260394	18.134823	17.079479	11.128784	-2.518360	-12.417554	16.819752	17.714000	88.708083	-0.401097
15:27:18:985	-49.745831	-66.881200	-83.477390	-89.217673	-88.816576	-81.886154	-78.812177	-75.116829	-73.657101	-66.391336	-62.400097	-48.805555	-40.158966	-30.746349	-26.400041	-25.657026	-25.479492	-25.048806	-24.430723	-24.733189	-24.410997	-24.338668	-23.260310	-146.686255	-145.183787	-23.266885	-22.760583	-162.434225	-159.143261	-141.110356	-132.618288	-137.635282	1961.095646	1886.284571	19.078386	8.288232	47.664731	6.585216	38.600608	9.721659	13.627418	18.693728	34.234574	16.346327	19.860853	17.049889	-6.581928	9.613166	26.137027	7.111244	16.487697	18.854824	-7.061929	12.414266	-4.241102	-0.266302	-0.368220	2.781374	5.562748	2.492059	1.278906	-7.765492	-1.048769	14.393447
15:27:18:995	-53.924467	-66.601747	-77.963957	-83.135471	-81.271359	-77.753545	-71.792988	-66.989693	-61.479547	-55.699812	-53.391864	-39.817048	-31.847721	-26.478945	-24.871271	-25.472916	-25.295382	-25.624149	-25.683328	-25.877300	-24.775929	-25.157299	-25.298669	-145.936665	-146.853927	-26.403329	-24.723326	-164.518611	-162.013402	-142.211728	-134.442948	-139.367887	1748.991207	1685.966452	4.060280	27.258124	16.997287	-5.855352	2.603840	-1.232879	3.895896	6.512887	7.104669	8.189602	5.661379	18.480029	7.029052	36.989646	11.102483	8.538095	26.130452	4.047130	-7.061929	33.024709	6.999463	-4.523843	25.124423	59.862011	1.532057	1.153974	11.174812	-4.951241	12.348512	10.352893
15:27:19:005	-56.432964	-74.222581	-88.024246	-91.334936	-88.017671	-81.080674	-78.611629	-69.899287	-61.029136	-58.011049	-54.029673	-42.243353	-34.444985	-29.457580	-26.876754	-27.129905	-25.574834	-26.100862	-25.972643	-25.877300	-25.232916	-24.065791	-23.454283	-144.910910	-145.463239	-27.113467	-24.910724	-161.395319	-157.164079	-141.202411	-131.704314	-137.181583	1950.150971	1738.112286	16.343039	17.783041	1.683290	20.409895	13.269062	15.212078	-0.282740	-4.310144	19.311811	-1.305208	11.349059	88.448356	20.640032	17.822493	1.538633	89.746989	19.242770	-6.716723	24.207161	-13.703035	-11.260291	8.225766	2.317812	18.101946	10.961113	14.705776	21.070718	19.111263	27.087165	31.883885
15:27:19:015	-57.731596	-71.714084	-81.060948	-83.967254	-82.691635	-79.768891	-80.719029	-70.902028	-59.043379	-51.941998	-56.304745	-49.972680	-41.095954	-31.144158	-26.209356	-22.707980	-21.475102	-23.036748	-23.562776	-23.306338	-23.132091	-23.612091	-25.394012	-148.369545	-147.038036	-22.352911	-22.947981	-157.607916	-155.579419	-141.294466	-132.342123	-137.635282	1794.167168	1246.956455	12.263033	2.883292	-1.111235	17.641671	7.946314	-10.816455	1.111235	-0.243288	43.722808	10.908510	-5.690968	17.049889	8.390150	-10.944675	9.731522	17.082766	-9.603303	12.115087	86.719039	19.278934	-14.074542	3.987951	22.438391	-1.403838	9.613166	-0.207124	2.695895	21.945240	21.718390	9.024672
15:27:19:025	-50.584188	-60.933793	-80.285056	-99.350291	-93.965077	-86.623696	-81.320674	-67.292159	-58.865845	-52.425287	-52.208300	-50.781449	-43.275684	-34.520602	-31.561693	-27.774290	-27.156207	-26.482233	-26.452644	-25.972643	-24.960039	-25.703054	-23.454283	-144.065977	-145.275842	-24.785792	-23.602228	-157.985999	-154.195308	-142.211728	-132.979932	-137.727337	1805.111842	1511.742620	6.795627	16.428519	-61.032423	-5.855352	23.930996	6.999463	15.018105	21.402773	15.235092	9.550700	15.616463	22.773734	11.115634	4.126034	35.700877	17.082766	16.487697	4.047130	68.239010	1.420276	8.406588	12.480019	11.707415	15.313996	-1.167125	17.424685	-11.447689	-0.696987	2.975347	6.332065
