# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181220\Data002.txt																																																															
																																																																
Log date:	Donnerstag, 20.Dezember 2018	Log time:	12:54:24																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
12:54:14:175	-26.071273	-33.642792	-37.466360	-40.786913	-44.087740	-44.301439	-44.765001	-47.224183	-38.025264	-34.323341	-29.194566	-27.330453	-24.453737	-19.821401	-19.446606	-19.223044	-18.026329	-17.954000	-18.078932	-17.352356	-17.368794	-17.349068	-17.543041	-84.220405	-85.403968	-19.436742	-17.013725	-94.731106	-95.013846	-82.086703	-77.007243	-80.104234	-65.845582	-97.953029	7.656998	16.957835	12.246594	12.996185	-5.247131	4.984117	22.504145	8.699192	16.024134	-8.426314	3.994527	12.230156	16.231258	21.383047	5.894804	2.649867	-5.740283	6.144667	11.076182	11.750155	16.655368	25.716204	8.528232	27.294289	8.676178	-15.761120	6.821928	-31.295391	-4.448226	15.047695
12:54:14:189	-31.735940	-36.710194	-41.428009	-45.761167	-51.100353	-47.020347	-47.572677	-47.424731	-36.131563	-29.796211	-21.554006	-20.679484	-16.869067	-15.550709	-14.475639	-15.905778	-15.790709	-15.941943	-16.250984	-16.017559	-16.089888	-16.984136	-17.155095	-84.782597	-84.384788	-16.500848	-16.546875	-92.554664	-94.816585	-83.553006	-76.915188	-79.196835	-97.295493	-85.607804	0.844933	-0.654248	3.872883	-0.825207	9.422480	10.451523	14.169885	4.652062	-12.440567	6.499736	1.150687	-12.042758	-19.140852	0.831782	14.107419	15.475093	24.496476	24.976477	-0.286028	6.243297	23.694283	3.064114	13.903583	0.838357	1.929866	19.512359	8.235629	-3.004936	12.950157	29.838950
12:54:14:196	-24.121681	-29.832375	-37.367729	-42.259792	-51.455422	-49.239528	-49.880625	-49.029117	-40.103076	-35.769919	-30.470184	-26.429630	-22.790172	-20.120579	-18.588522	-18.578659	-17.280027	-17.763315	-17.404959	-17.352356	-16.911807	-17.257013	-16.767149	-83.099307	-84.292734	-18.627974	-13.180294	-94.257681	-95.112476	-82.359580	-77.007243	-79.558480	-80.873550	-86.982053	-3.254800	12.887691	19.206605	6.095352	-13.239473	26.889905	9.994536	10.053714	10.612619	1.065207	3.994527	10.800017	9.438919	17.270164	-9.120014	12.621389	9.369878	7.492614	32.380324	0.756166	11.046592	24.299216	11.217552	14.764954	-4.800007	19.512359	18.131535	8.314533	8.926041	8.334260
12:54:14:206	-31.920050	-37.545264	-41.720613	-45.577057	-52.698164	-49.338159	-45.869660	-45.018152	-34.418684	-28.737579	-22.918392	-18.075644	-15.935367	-14.557831	-14.570982	-14.893174	-14.860297	-15.751257	-15.287695	-15.731531	-15.905778	-16.349614	-16.671807	-84.033007	-84.660953	-14.778105	-15.892627	-93.787543	-95.806176	-83.092732	-76.001214	-78.920670	-97.295493	-92.456034	21.304143	-2.008770	-1.686578	19.920031	8.087684	66.588596	12.779198	10.053714	16.024134	-7.068504	21.011539	6.509599	13.505774	2.202743	20.929348	11.191250	2.505209	8.840562	-3.133156	26.870179	-4.415349	11.552895	13.903583	5.023569	10.027413	15.435640	9.652618	-7.239463	-11.155086	23.105789
12:54:14:216	-28.112920	-28.997305	-34.757314	-41.707462	-50.656517	-48.532678	-45.771030	-45.820345	-35.861973	-30.664157	-26.192917	-26.610452	-24.243325	-19.722770	-20.021949	-17.930987	-18.585234	-17.858658	-17.214273	-17.352356	-17.641671	-17.983590	-18.318933	-86.183147	-85.403968	-18.729892	-17.201123	-95.582614	-97.288918	-83.368896	-77.188065	-79.377657	-95.924532	-113.046751	26.751822	3.415896	5.270145	40.645543	25.410450	2.242195	-34.484437	7.344669	22.816474	-4.369322	3.994527	22.221404	20.321127	9.060836	18.190713	14.048241	3.859732	30.364979	15.323859	-1.995620	6.825216	4.461377	23.289899	9.205494	10.027413	11.378648	35.105808	2.663018	20.978663	12.355088
12:54:14:226	-32.850462	-36.710194	-40.849378	-44.840618	-50.035146	-48.634596	-44.866919	-43.410478	-31.893748	-26.038397	-25.647163	-22.928255	-19.673455	-17.437835	-17.250438	-17.286602	-17.467424	-16.806601	-17.115643	-17.730438	-17.460849	-19.436742	-17.737014	-85.528900	-83.829171	-16.602765	-16.638930	-95.963985	-97.883988	-82.267525	-77.280120	-79.923412	-94.553571	-115.775522	2.192880	7.463025	-8.646589	14.380296	20.087702	3.613156	18.328796	-0.769316	3.820280	11.917827	-7.377546	-22.053733	5.349049	-15.586874	22.297021	9.787412	46.491031	24.976477	11.076182	21.363321	19.469619	3.064114	13.903583	0.838357	-2.100825	23.589078	23.796201	11.148510	22.320035	32.515119
12:54:14:236	-24.864696	-28.905250	-32.146899	-40.418693	-50.301448	-51.554053	-47.674595	-48.930487	-40.372665	-35.769919	-33.560600	-29.398402	-24.036202	-20.515100	-18.588522	-19.035646	-17.746877	-17.858658	-18.174275	-18.016466	-17.917836	-17.437835	-17.349068	-83.283417	-85.496023	-18.627974	-16.826327	-96.056039	-96.795767	-81.994648	-77.188065	-79.923412	-104.143723	-108.927292	11.756731	22.362774	-3.083840	10.227961	13.410432	22.777022	9.994536	0.585206	16.024134	2.426305	5.395077	17.930987	12.144676	-3.264663	15.475093	-27.254837	2.505209	7.492614	1.137536	11.750155	-0.193973	22.878940	5.842201	-4.717816	-14.225775	16.796738	54.894332	67.749146	3.580280	47.306375
12:54:14:246	-30.157855	-32.064707	-36.884441	-45.297605	-49.591310	-51.859806	-45.669112	-43.814863	-34.691561	-32.012104	-26.557849	-23.017022	-18.844961	-16.744136	-16.198381	-16.642218	-16.537012	-16.806601	-17.115643	-16.303587	-16.362765	-16.622492	-16.767149	-84.407802	-84.384788	-16.195094	-15.797285	-94.448366	-97.489466	-80.525056	-75.909159	-79.558480	-104.143723	-124.021014	4.924939	-20.955649	5.270145	15.764408	-10.589605	14.564406	-1.127673	0.585206	2.462470	15.994545	9.659193	15.070708	16.231258	18.641125	12.736458	-5.891516	-1.607674	23.628530	12.499745	54.338714	6.825216	44.117329	17.914548	-0.555617	1.929866	11.378648	8.235629	-25.647163	38.396772	20.413182
12:54:14:256	-23.937571	-28.162235	-34.951287	-42.075682	-50.656517	-51.254874	-47.273498	-47.424731	-39.649377	-37.019236	-33.471833	-28.589633	-21.337019	-18.332083	-17.441123	-17.838932	-17.651534	-17.092629	-17.694274	-17.063040	-17.276739	-17.349068	-20.163319	-85.716297	-84.848351	-17.109068	-16.734273	-95.395217	-97.883988	-80.712454	-76.550256	-85.660407	-95.924532	-136.366239	19.936469	-6.059187	13.643857	7.479464	2.745210	13.193445	-8.067958	12.762760	14.666324	11.917827	5.395077	-0.621371	2.623566	6.315626	3.175895	-22.994008	18.989619	73.417100	15.323859	22.740857	-18.470166	-6.864668	20.600580	7.811519	8.676178	-8.985219	6.821928	19.634003	-7.130970	25.801684
12:54:14:266	-27.928810	-31.785255	-40.267460	-45.389659	-54.651044	-55.085017	-46.573223	-43.009382	-35.322795	-32.590736	-29.740320	-22.389076	-17.388520	-16.444957	-15.909066	-16.642218	-16.721122	-16.806601	-15.478380	-17.063040	-17.368794	-17.076191	-17.447698	-84.687255	-84.013281	-16.704683	-16.546875	-94.543708	-97.390836	-81.445606	-77.552997	-79.742589	-53.536521	-106.178795	17.204410	-10.126043	3.872883	0.558905	8.087684	7.706313	9.994536	7.344669	13.328240	-16.579752	3.994527	-0.621371	16.231258	15.895915	14.107419	16.901944	6.614805	8.840562	-5.976996	26.870179	2.620278	-26.682781	-3.544115	23.109077	8.676178	4.583021	-3.073977	9.731522	38.396772	19.088249
12:54:14:276	-24.121681	-28.066893	-33.113476	-41.339242	-50.123913	-55.890498	-48.276239	-44.715686	-39.471842	-37.403894	-38.929375	-32.452653	-25.285519	-25.084970	-17.155095	-17.470712	-17.375369	-17.858658	-17.404959	-14.781393	-17.276739	-17.621945	-17.641671	-84.782597	-84.940406	-18.831810	-17.013725	-95.112476	-96.993027	-81.810538	-76.639023	-79.285602	-106.862632	-113.046751	-1.890414	-12.838376	45.682263	25.436752	14.745228	24.147983	9.994536	23.585790	28.227989	3.784115	5.395077	130.731162	5.349049	10.431797	4.546856	6.930422	16.234546	0.756166	-15.915641	15.876189	12.453718	10.135906	4.517267	13.367692	10.027413	29.007168	18.131535	9.731522	-4.448226	11.007140
12:54:14:286	-28.392373	-31.226350	-37.269099	-44.653220	-54.207207	-57.702007	-53.592412	-46.020893	-39.830199	-35.960604	-30.923884	-26.610452	-21.231814	-19.124413	-16.103039	-16.918382	-16.629067	-16.806601	-16.730985	-17.063040	-16.727697	-16.984136	-17.250438	-78.611629	-83.641774	-16.500848	-12.529335	-93.974940	-96.496588	-81.077386	-76.823133	-80.196289	-83.615472	-106.178795	10.389057	-8.771520	20.600580	1.943017	-1.242742	15.938655	14.169885	12.762760	-4.310144	10.560016	3.994527	-7.772067	3.987951	-8.748507	-0.930412	11.191250	5.237268	4.800007	39.471842	11.750155	-1.601098	24.299216	3.172608	0.838357	1.929866	1.867400	1.176988	5.496995	12.950157	2.945758
12:54:14:296	-25.703054	-28.066893	-31.371008	-45.116782	-55.805018	-58.007761	-53.289946	-48.026376	-44.248836	-41.355681	-35.381973	-30.115115	-27.465248	-23.595653	-17.536466	-18.299206	-18.493179	-18.240028	-18.463590	-18.111809	-17.825781	-18.529344	-18.124960	-86.275202	-85.867531	-19.032358	-17.293178	-95.582614	-98.081248	-83.368896	-77.917929	-80.742043	-104.143723	-226.895695	6.289325	-2.008770	19.206605	46.162263	18.752906	-7.341381	-3.912335	8.699192	9.251521	7.841108	8.238917	17.930987	-10.984127	-1.893702	25.035655	4.076719	14.857009	14.212625	-8.824123	-1.995620	9.639467	-5.447680	9.872892	7.811519	14.054816	12.736458	1.176988	-8.656452	8.926041	4.293705
12:54:14:306	-27.557303	-31.321692	-37.367729	-48.798980	-58.645570	-62.439549	-55.798443	-52.339807	-46.504182	-34.997315	-27.468536	-24.003325	-21.751267	-19.722770	-16.770437	-17.286602	-17.280027	-17.187972	-17.595644	-17.253725	-17.276739	-17.621945	-16.474546	-82.819855	-84.568898	-17.615370	-16.546875	-96.151382	-100.754129	-83.460951	-77.280120	-79.558480	-68.584216	-110.298253	11.756731	15.600024	16.415368	4.711240	22.737570	14.564406	43.351300	16.829615	-4.310144	34.977589	21.011539	-22.053733	-0.082192	-6.006585	18.190713	11.191250	6.614805	3.452060	-1.709592	36.486632	5.418091	11.552895	9.872892	0.838357	3.277813	4.583021	2.590689	-12.907417	-9.813714	21.761130
12:54:14:316	-24.493189	-28.162235	-36.111837	-46.681716	-57.669131	-60.023107	-52.688301	-48.529390	-43.348012	-34.803342	-27.830180	-23.914558	-22.688254	-19.722770	-16.293724	-16.734273	-16.349614	-16.997287	-17.115643	-17.352356	-16.454820	-16.622492	-16.961122	-84.220405	-82.438484	-16.704683	-16.267423	-94.639051	-100.356320	-83.092732	-76.550256	-78.559026	-89.092741	-93.830283	3.557266	11.533169	19.206605	14.380296	24.075654	17.309616	-8.067958	16.829615	1.124385	-5.707406	22.435103	-12.042758	-0.082192	14.524954	20.929348	26.870179	9.369878	7.492614	-7.400559	79.075191	23.694283	34.208272	-2.199455	25.900314	20.804416	16.796738	8.235629	23.884969	-3.106854	28.494291
12:54:14:326	-24.680586	-27.603331	-37.851018	-50.091037	-58.645570	-62.843933	-55.798443	-51.639532	-43.348012	-34.803342	-28.375934	-24.003325	-22.165514	-18.233453	-17.631808	-17.378657	-17.000574	-16.901944	-16.635642	-16.875643	-16.911807	-17.076191	-16.961122	-85.341502	-84.476843	-17.411534	-16.734273	-97.949741	-99.665908	-82.543690	-77.096010	-78.831903	-97.295493	-117.149771	-0.522741	-0.654248	8.061382	7.479464	0.075617	-1.873976	-10.852620	5.986859	-5.667954	10.560016	2.570963	32.212653	8.074533	30.963336	0.440549	-13.025774	-0.230137	0.756166	3.961650	10.372619	13.860843	35.625261	4.517267	18.946879	-6.147955	19.512359	3.987951	21.050992	10.267413	12.355088
12:54:14:336	-27.836756	-31.785255	-40.556775	-52.392410	-60.775985	-63.044481	-56.600636	-52.540355	-45.060892	-35.671288	-30.013197	-26.252096	-22.063596	-20.120579	-19.160578	-20.419758	-17.187972	-16.997287	-17.020300	-17.063040	-16.819752	-17.710712	-18.223590	-85.528900	-85.588078	-17.819206	-16.826327	-98.045084	-101.743720	-83.829171	-76.001214	-78.920670	-100.034128	-115.775522	19.936469	-3.366581	12.246594	11.612073	-10.589605	2.242195	3.050964	26.298123	-0.233425	18.693728	26.699220	13.660295	9.438919	7.686587	20.929348	8.360561	1.147399	24.976477	-7.400559	6.243297	4.007677	-1.193427	-3.544115	9.205494	3.277813	0.526028	-4.490966	2.663018	30.368266	11.007140
12:54:14:346	-22.638939	-31.226350	-43.847739	-53.497069	-64.767224	-64.655443	-61.614342	-56.554608	-48.220349	-39.235129	-34.106354	-32.541420	-27.051001	-22.500857	-20.307977	-19.775373	-16.908519	-17.187972	-16.921670	-16.398930	-17.460849	-17.349068	-15.603312	-82.349717	-83.270266	-17.411534	-16.921670	-99.843443	-99.370017	-82.267525	-76.915188	-81.744784	-94.553571	-104.804546	-14.169885	16.957835	-1.686578	4.711240	8.087684	-11.454264	18.328796	26.298123	1.124385	-15.221941	5.395077	25.081683	-15.054270	18.641125	20.929348	11.191250	13.499199	27.672372	36.647728	8.995082	64.428593	5.878365	21.945240	103.867558	1.929866	10.020837	11.069606	19.634003	8.926041	20.413182
12:54:14:356	-25.328258	-33.550737	-42.687190	-52.576520	-61.752425	-60.424203	-57.402829	-52.944740	-43.167190	-31.818132	-27.284426	-25.354560	-23.727160	-19.920031	-18.302494	-17.378657	-14.952352	-14.889886	-17.115643	-15.353448	-15.540846	-15.895915	-16.767149	-85.808352	-83.365609	-15.793997	-15.517832	-95.773299	-101.546459	-83.460951	-75.909159	-78.466971	-106.862632	-122.646766	22.668528	22.362774	-1.686578	17.148520	6.752887	-1.873976	7.206587	-3.478362	14.666324	-8.426314	39.471842	19.361126	13.505774	18.641125	15.475093	-1.610961	29.986896	2.104113	21.014827	11.750155	53.188028	-6.864668	21.945240	5.023569	7.328231	10.020837	2.590689	19.634003	3.580280	2.945758
12:54:14:366	-20.965512	-32.712380	-41.911298	-51.287751	-62.196261	-61.433520	-60.509683	-58.760639	-49.929940	-38.755129	-33.836765	-30.923884	-28.921689	-25.282231	-22.507432	-20.051538	-18.305782	-18.815372	-18.078932	-17.253725	-17.641671	-17.621945	-17.930987	-85.062050	-85.311913	-18.526056	-16.826327	-98.896592	-100.356320	-82.635745	-76.731078	-79.285602	-98.663167	-100.701526	26.751822	-11.480566	20.600580	-17.398383	-2.577538	17.309616	1.656989	-0.769316	-35.490466	9.198918	3.994527	50.761723	2.623566	0.831782	-20.048250	4.076719	-4.362746	-4.615898	6.808778	4.865761	2.620278	20.044963	3.172608	5.023569	10.027413	11.378648	25.213190	6.897545	11.608785	-1.091509
12:54:14:376	-24.588531	-32.991832	-42.299244	-51.287751	-59.799545	-58.510776	-53.592412	-49.029117	-41.003899	-34.227998	-28.195112	-26.340863	-24.453737	-20.912909	-19.160578	-17.746877	-16.257559	-16.901944	-16.441669	-16.589615	-16.362765	-16.349614	-16.474546	-83.753555	-83.178211	-16.195094	-14.584132	-95.773299	-103.029201	-82.359580	-76.458201	-78.374916	-105.494958	-106.178795	9.024672	12.887691	15.037832	11.612073	5.418091	33.728272	-10.852620	7.344669	32.304708	1.065207	16.747423	-13.472898	8.074533	11.783032	-7.752341	1.223016	-13.982487	8.840562	-1.709592	-3.373156	8.232342	85.190269	-7.555080	7.811519	3.277813	11.378648	-0.240000	-8.656452	8.926041	-7.804944
12:54:14:386	-20.130442	-28.346345	-38.238963	-47.694321	-56.603923	-56.291594	-54.493235	-50.235694	-45.422536	-39.044444	-33.014846	-30.384705	-26.945795	-23.099214	-20.212634	-19.035646	-17.651534	-17.378657	-16.921670	-17.825781	-17.092629	-16.622492	-16.865780	-85.062050	-84.197391	-18.831810	-16.734273	-96.342067	-101.842350	-81.353551	-75.728337	-78.102039	-98.663167	-128.124034	19.936469	10.175358	24.789080	11.612073	-1.242742	4.984117	-3.912335	37.121153	2.462470	-1.650414	11.082757	22.221404	21.682225	17.270164	-7.752341	8.360561	17.612082	-5.963845	15.323859	22.740857	36.338687	25.716204	-7.555080	3.629595	1.929866	1.867400	18.131535	-1.587948	-5.789598	52.694876
12:54:14:396	-26.538123	-36.894304	-45.198974	-51.748026	-57.047760	-55.788580	-50.981997	-47.526649	-42.085545	-34.901972	-26.465794	-22.389076	-21.024690	-18.828522	-16.103039	-17.102492	-16.165505	-16.806601	-17.309616	-16.970985	-16.819752	-17.802767	-18.029617	-86.370545	-85.216571	-17.210986	-16.826327	-95.395217	-101.247280	-82.635745	-76.458201	-79.377657	-113.714149	-111.672502	6.289325	15.600024	19.206605	-13.265774	44.084452	13.193445	-33.093750	27.652646	14.666324	17.352356	12.503033	-3.481649	18.956742	-4.635624	4.546856	22.609350	6.614805	2.104113	-5.976996	-21.228526	16.655368	10.135906	17.914548	17.552904	8.676178	-6.266311	-0.240000	21.050992	10.267413	-3.767677
12:54:14:406	-26.071273	-35.316219	-42.493217	-46.773771	-54.473509	-57.300911	-53.592412	-51.136518	-46.504182	-39.429102	-32.015392	-28.050454	-25.387437	-22.800035	-21.074005	-20.143593	-18.956742	-18.338659	-18.752906	-17.730438	-18.374823	-18.167699	-17.641671	-83.003964	-84.013281	-18.729892	-16.921670	-94.070283	-101.546459	-82.178758	-77.552997	-79.196835	-84.983146	-108.927292	11.756731	14.245502	28.954565	22.668528	-6.581928	17.309616	-1.127673	7.344669	25.532094	-5.707406	6.818641	10.800017	3.987951	4.944665	4.546856	26.870179	28.609359	7.492614	6.808778	-85.821503	32.117310	17.207698	58.165570	5.023569	-4.800007	24.930450	3.987951	-3.004936	11.608785	2.945758
12:54:14:416	-32.015392	-42.562258	-45.491577	-47.234046	-48.703637	-49.943091	-43.561711	-43.512396	-34.237861	-31.338131	-24.374832	-22.658665	-19.154002	-17.934274	-17.536466	-16.734273	-17.559479	-15.846600	-17.789617	-16.684957	-17.460849	-17.257013	-16.865780	-85.716297	-84.105336	-17.109068	-17.105780	-93.406172	-100.257690	-81.810538	-76.274091	-79.012725	-109.604554	-115.775522	17.204410	29.141963	3.872883	1.943017	30.749637	0.867947	16.954547	5.986859	9.251521	-0.292603	2.570963	15.070708	16.231258	-3.264663	19.561674	66.766131	18.989619	20.932635	1.137536	3.507951	16.655368	44.117329	11.217552	3.629595	8.676178	18.154549	-11.549607	35.204438	33.031284	5.641653
12:54:14:426	-26.538123	-33.087175	-36.979783	-42.167737	-46.129387	-48.532678	-45.067467	-47.927746	-43.890479	-38.367183	-29.921142	-25.354560	-22.270719	-21.212088	-20.212634	-19.315098	-19.328249	-19.581400	-19.042221	-18.874550	-18.282768	-18.437289	-17.543041	-85.249447	-85.772188	-19.134276	-17.388520	-94.731106	-97.785357	-83.460951	-77.737107	-79.104780	-82.244511	-129.498283	11.756731	2.058085	15.037832	8.843849	4.080006	-1.873976	18.328796	43.877328	-2.952333	10.560016	-4.536993	6.509599	16.231258	-8.748507	-3.665759	2.649867	71.240658	18.256467	11.076182	19.989072	5.418091	12.973171	15.248243	3.629595	-2.100825	10.020837	-3.073977	13.982487	20.978663	19.088249
12:54:14:436	-33.034572	-39.126636	-43.847739	-47.418156	-51.011586	-52.158985	-48.677336	-45.619797	-36.042796	-31.528816	-22.553460	-25.084970	-16.767149	-16.047148	-15.527695	-17.010437	-16.629067	-17.477287	-17.404959	-17.352356	-18.098658	-18.437289	-17.832356	-85.716297	-84.940406	-16.803314	-16.826327	-93.501515	-95.013846	-83.368896	-77.464230	-79.923412	-100.034128	-106.178795	10.389057	27.784153	-1.686578	-7.729327	-3.912335	-7.341381	-13.637281	3.297539	6.535901	-16.579752	-0.269589	25.081683	-15.054270	-10.122755	11.368785	11.191250	6.614805	30.364979	-20.186333	7.620834	12.453718	-2.610415	16.589615	-15.853175	18.105234	20.873457	-14.383584	13.982487	-5.789598	2.945758
12:54:14:446	-26.814288	-31.321692	-39.593486	-41.615407	-52.964466	-57.905843	-54.894332	-51.037887	-43.979246	-40.198419	-32.741969	-28.767168	-23.829078	-20.317840	-20.021949	-19.499208	-18.956742	-18.338659	-18.368248	-17.825781	-18.098658	-17.621945	-16.865780	-84.033007	-84.660953	-19.338112	-17.947425	-94.543708	-96.993027	-83.000677	-77.096010	-80.196289	-101.405089	-119.898268	18.568796	23.717297	-5.875078	15.764408	13.410432	6.355078	16.954547	10.053714	26.870179	-0.292603	-7.377546	25.081683	14.870160	4.944665	11.368785	2.649867	18.989619	15.560572	2.538086	14.501940	5.418091	14.390159	5.842201	2.232332	12.726595	15.435640	9.652618	16.819752	-7.130970	15.047695
