# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181218\Data002.txt																																																															
																																																																
Log date:	Dienstag, 18.Dezember 2018	Log time:	14:46:50																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
14:46:40:506	-49.479529	-52.543643	-54.598441	-60.026395	-62.584207	-60.394614	-51.399532	-50.100900	-45.534317	-45.790756	-37.551839	-34.658684	-26.860316	-26.659767	-22.086610	-22.349624	-21.021402	-21.031266	-21.162773	-21.212088	-21.853185	-22.070171	-114.256616	-20.344141	-115.144288	-19.949620	-20.524963	-129.343762	-133.588152	-115.338261	-105.439068	-108.562360	-138.325694	-160.152577	28.987442	-5.362200	-10.359468	3.882746	11.746868	4.813158	24.532641	10.392345	9.767686	22.553460	-3.231786	-0.049315	-10.277276	8.449328	7.558368	-17.720575	20.025237	4.175349	21.961678	17.707425	14.939201	18.243316	18.841673	12.272896	39.484993	1.305208	6.348503	12.562211	8.403301	1.426852
14:46:40:516	-39.826911	-46.783634	-55.177072	-61.315164	-64.270785	-63.721743	-58.017624	-56.018717	-51.669121	-48.680623	-38.005538	-34.208272	-27.692098	-27.057576	-22.372637	-22.349624	-21.672362	-21.415924	-22.412090	-21.212088	-21.212088	-21.527705	-116.002372	-21.744691	-116.906483	-23.697571	-20.804416	-130.767326	-132.894453	-114.509767	-105.711945	-108.289483	-146.518584	-153.287909	-18.720029	-20.245511	28.609359	17.694274	5.092611	4.813158	41.217598	0.933700	58.537077	13.068513	2.449319	8.501931	1.952880	1.620824	18.476741	15.008242	6.286037	51.225285	-7.850971	8.081108	6.522750	-25.614286	28.221414	2.541374	1.785208	8.074533	3.521101	9.731522	8.403301	25.607711
14:46:40:526	-40.290473	-45.485002	-52.083368	-59.474065	-63.560647	-60.194066	-56.814335	-55.920087	-44.903083	-43.288834	-47.921170	-31.154021	-26.031821	-26.462507	-23.520036	-22.441679	-22.698117	-22.757296	-23.181406	-23.115652	-22.306884	-23.434557	-118.527307	-23.053186	-118.109772	-23.089351	-22.204966	-131.142121	-133.884043	-116.344290	-107.447838	-110.110856	-150.624891	-143.697757	23.546338	2.748497	-0.618083	5.266857	-8.229054	49.962817	2.298086	14.455913	-2.423017	14.426324	-7.492614	5.644940	12.825225	24.874559	-0.627946	3.623019	13.163856	-1.209865	24.805518	-1.525482	28.980867	39.481705	14.814270	-7.193436	-4.938090	12.147964	-9.195631	9.731522	29.806074	4.116171
14:46:40:536	-40.569926	-44.091027	-52.372684	-58.001186	-63.028043	-63.116810	-56.110772	-54.315701	-46.527195	-44.827467	-42.917327	-28.819771	-18.240028	-22.688254	-21.511266	-21.981404	-21.488253	-21.511266	-21.547431	-21.784143	-21.853185	-20.981950	-116.294975	-19.410441	-114.960178	-22.786885	-21.550718	-129.912530	-132.200753	-114.420999	-110.462637	-109.016060	-128.761844	-162.878061	9.912344	20.321127	14.682763	2.501922	3.761102	0.703563	7.867409	26.620315	13.837830	-3.205484	13.795090	5.644940	18.253179	1.620824	14.393447	30.670733	0.821919	-9.271247	13.453172	2.597264	38.804444	23.911270	6.779189	31.755666	-6.289325	9.432343	17.651534	8.314533	21.784143	-24.101955
14:46:40:546	-36.207179	-41.769928	-46.379250	-52.566657	-56.104197	-59.388585	-62.929413	-58.928311	-51.757889	-50.607202	-45.281166	-33.310737	-23.434557	-23.582502	-20.843868	-21.981404	-21.859760	-21.606609	-20.584142	-20.547977	-20.935923	-21.074005	-114.450589	-20.531539	-115.144288	-22.280583	-20.617018	-128.400199	-130.718011	-116.436345	-106.260987	-108.473593	-120.568954	-161.523538	12.641116	12.210430	2.173154	31.505802	18.417563	6.184119	14.807694	13.101390	17.907973	2.225757	12.374814	-1.479454	19.614277	1.620824	-6.095352	16.435094	2.179729	-5.230693	13.453172	35.543069	5.115624	22.494281	24.194010	3.932061	12.552348	12.147964	27.534289	6.897545	19.104687	20.242223
14:46:40:556	-37.785264	-43.348012	-52.855972	-62.051603	-71.457645	-66.338733	-61.726123	-60.835163	-48.512952	-39.241705	-32.367174	-24.864696	-18.657563	-19.213180	-19.124413	-19.495921	-20.370443	-19.311811	-20.104141	-20.547977	-21.396198	-19.982497	-115.032507	-21.744691	-116.814428	-20.557840	-20.429621	-128.304857	-131.309793	-114.877986	-105.531123	-107.378797	-131.500478	-150.562425	0.374795	-4.027404	4.941378	10.800017	18.417563	8.906315	-1.857537	-5.835625	11.125497	4.921651	10.954538	25.630725	-8.916178	45.386372	17.109068	17.858658	105.189204	-13.311801	20.541402	-4.277267	7.929875	19.660304	21.507979	-1.640550	19.295372	1.305208	-10.609332	35.181424	0.381370	24.259764
14:46:40:566	-37.226359	-44.462535	-54.789126	-67.486132	-75.452172	-67.147501	-64.632429	-60.532697	-50.945832	-43.288834	-38.005538	-30.973199	-26.551274	-26.064698	-23.904695	-22.441679	-23.164967	-22.277295	-22.701405	-22.451542	-22.306884	-22.527158	-117.458812	-21.652636	-116.627030	-23.799489	-21.550718	-130.103216	-130.718011	-115.427028	-106.445097	-108.746470	-143.799675	-168.368480	19.449893	-13.489336	24.443874	3.882746	7.742478	10.277276	13.413719	0.933700	8.409876	53.720631	-18.838385	-1.479454	30.483335	19.410441	7.558368	20.712361	28.260866	-29.431279	-0.743015	21.813732	12.128238	-8.626863	46.974319	-1.640550	26.018671	-6.841654	6.348503	21.041129	1.722742	-1.265755
14:46:40:576	-46.139250	-52.635698	-59.819271	-70.619288	-76.162310	-69.866410	-62.528316	-56.521732	-44.002260	-35.582521	-32.820873	-24.055928	-26.653192	-27.455385	-26.962234	-20.048250	-19.627428	-19.883866	-20.104141	-20.071264	-20.478936	-20.528251	-114.062643	-19.877291	-115.328398	-19.847702	-19.495921	-126.884580	-130.915272	-113.687848	-104.620436	-108.197428	-149.257218	-150.562425	-2.357264	4.103020	6.335352	12.164402	13.081664	8.906315	13.413719	9.037822	12.480019	7.637272	1.029043	-5.766584	20.975375	1.620824	29.395114	3.623019	31.012651	5.523296	13.453172	23.187981	3.711787	-15.711805	17.500301	16.451532	-11.681114	2.643292	7.765492	8.314533	-25.042231	0.078904
14:46:40:586	-36.207179	-43.440067	-51.116792	-58.461461	-65.158457	-62.613796	-57.014883	-55.920087	-49.775420	-49.449940	-42.190750	-33.849916	-30.082238	-29.937581	-27.823605	-22.349624	-22.231267	-21.895924	-21.258115	-20.643320	-21.669075	-21.254828	-117.360182	-21.369896	-116.534975	-22.280583	-20.709073	-127.640746	-129.531160	-112.494421	-104.893313	-107.651674	-135.587060	-147.817216	-10.527140	10.855907	14.682763	-7.160559	27.738125	-7.499190	24.532641	2.288223	8.409876	-1.847674	27.978126	-2.906306	14.186323	-9.323850	19.844414	7.900286	-1.929866	14.929338	-17.783041	16.329888	2.304661	12.591800	20.183045	-11.372072	12.552348	14.843859	33.195668	1.232879	-2.298086	8.153437
