# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181219\Data001.txt																																																															
																																																																
Log date:	Mittwoch, 19.Dezember 2018	Log time:	13:45:47																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
13:45:37:879	-39.097047	-52.431862	-64.507497	-81.656017	-99.780977	-100.543718	-95.197956	-86.817669	-73.594635	-64.392429	-53.838988	-43.814863	-37.499236	-33.810463	-30.141417	-29.809361	-29.214292	-28.777031	-28.839497	-28.389085	-28.875661	-28.014290	-151.275851	-27.267988	-152.903251	-30.315663	-27.198946	-177.136713	-180.799185	-151.002974	-139.519121	-142.665427	-170.673142	-173.556434	-167.250670	-196.336743	-174.661093	-187.887415	-226.935147	-235.088584	-329.431744	-266.972469	-264.266711	-168.582179	-66.437363	-17.296465	-27.156207	-12.457006	-89.418221	-178.829867	-249.340661	-274.280974	-343.647657	-245.579559	-217.197049	-203.546617	-188.301662	-185.655083	-166.152587	-176.193150	-198.605240	-187.716456	-202.603054	-200.449626
13:45:37:889	-45.777605	-57.169404	-65.858732	-80.275193	-89.046714	-90.466990	-89.885071	-79.094917	-60.789135	-53.224192	-47.746923	-41.299790	-31.785255	-30.138129	-24.598394	-25.111272	-24.838395	-24.759490	-26.143602	-26.008807	-26.771548	-25.650451	-153.800787	-27.363330	-152.350921	-26.669630	-25.239491	-173.539995	-179.017264	-151.552016	-139.242956	-145.489541	-161.112579	-184.517547	-92.278499	-197.691266	-198.329075	-200.318119	-185.664946	-228.256793	-300.256904	-271.032749	-291.363740	-150.953659	-72.118468	-15.869614	-35.306356	-50.765010	-81.235195	-180.256718	-285.051401	-263.526984	-342.227380	-268.915486	-219.988287	-203.546617	-185.635357	-160.616140	-194.429891	-193.801945	-184.494533	-217.420611	-205.266072	-244.764215
13:45:37:899	-51.626381	-60.325573	-66.923939	-77.329435	-85.584790	-83.615472	-78.259847	-74.580938	-63.583660	-62.084480	-53.474056	-44.801165	-35.733754	-31.824707	-27.465248	-28.244427	-28.096482	-27.629632	-28.070181	-27.343604	-27.320590	-28.195112	-150.404617	-27.363330	-152.071469	-29.201141	-26.640041	-174.013421	-181.788775	-152.926265	-140.337752	-143.122414	-177.498358	-184.517547	-167.250670	-194.982220	-195.537838	-163.029294	-204.299495	-236.459545	-305.819653	-276.431114	-296.788406	-176.709315	-77.779847	-30.138129	6.821928	-24.769354	-86.682874	-174.552600	-282.299616	-260.834377	-329.474484	-270.293022	-207.353746	-190.810159	-200.360859	-191.227694	-201.153189	-184.320286	-192.963587	-214.586634	-186.542755	-197.760307
13:45:37:909	-43.551848	-55.311867	-67.117912	-77.145325	-83.102595	-79.183685	-77.257106	-75.383131	-70.257643	-72.772716	-66.388048	-58.099816	-53.595700	-45.425824	-35.017041	-33.123339	-29.306347	-28.395661	-28.454839	-28.293743	-28.418674	-28.287167	-150.305987	-26.521685	-152.442976	-30.417581	-26.827439	-175.055614	-180.204115	-149.625438	-139.519121	-142.757482	-185.710973	-187.262756	-189.054540	-197.691266	-202.510999	-150.618316	-197.648526	-254.252449	-322.475021	-252.099021	-260.216294	-157.742711	-172.773967	-40.119514	-10.839469	-32.991832	-85.318489	-168.871495	-228.720355	-266.219591	-329.474484	-259.312183	-212.978961	-196.461675	-201.705518	-191.227694	-268.458499	-199.233186	-188.719197	-206.107717	-217.305543	-228.641451
13:45:37:919	-51.438984	-59.026941	-70.984220	-76.685050	-80.794646	-77.773271	-73.147511	-66.256541	-58.175433	-56.692691	-53.746933	-44.981988	-39.784171	-33.909094	-27.369905	-28.612647	-26.235657	-26.002232	-26.916206	-26.294835	-26.498671	-26.830727	-156.128461	-27.550728	-153.646266	-26.163328	-25.239491	-172.215062	-179.115894	-152.742155	-138.697202	-141.485151	-174.779449	-177.672604	-208.129638	-186.874811	-184.402478	-196.188798	-196.317017	-243.311062	-326.650370	-249.389976	-272.406998	-199.749351	-65.017087	-14.439474	-21.711815	-46.655415	-71.664769	-183.107133	-291.912782	-282.358794	-345.071220	-282.648110	-234.029952	-187.976182	-201.705518	-202.353191	-163.453404	-233.112690	-177.419453	-213.169646	-228.003641	-212.538412
13:45:37:929	-42.716779	-51.596792	-65.474074	-71.986961	-73.962854	-75.051075	-71.845591	-68.863668	-59.799545	-61.601191	-58.024200	-52.168848	-47.986924	-40.760611	-32.245529	-31.190185	-29.677854	-28.875661	-28.938127	-28.103057	-29.329361	-28.921689	-153.991472	-29.697580	-152.998594	-29.911279	-27.106891	-172.688487	-181.489597	-151.459961	-139.791998	-143.395291	-170.673142	-177.672604	-184.961383	-188.229333	-187.190427	-197.549896	-173.681365	-246.033258	-319.713373	-254.804779	-266.979044	-165.869846	-76.359571	-47.243909	-36.667454	-17.937562	-81.235195	-188.788238	-267.186168	-255.468890	-355.000003	-240.099003	-217.197049	-197.878663	-189.643034	-200.959216	-167.500534	-215.503896	-202.849630	-228.730218	-232.024470	-219.245272
13:45:37:939	-38.169922	-46.859251	-57.836802	-69.225313	-64.734347	-70.819836	-73.548607	-73.676827	-67.551886	-71.036823	-63.751332	-59.358996	-52.556794	-46.915141	-37.788552	-34.596218	-32.005529	-29.543060	-29.418128	-28.481140	-28.967716	-28.921689	-152.249003	-28.297030	-153.830376	-30.417581	-27.386344	-174.582189	-181.690145	-150.726809	-140.337752	-143.941045	-147.442421	-144.789266	-167.250670	-193.647424	-176.055068	-200.318119	-217.617872	-236.459545	-309.995002	-237.242012	-280.527559	-178.067126	-82.040675	-4.458089	-12.200567	-16.566601	-70.316821	-181.680282	-261.702324	-259.506156	-349.335337	-231.846935	-231.215701	-189.393171	-204.388262	-203.727439	-189.034814	-188.393717	-200.018941	-165.093955	-226.685283	-229.986110
13:45:37:949	-49.397337	-59.954066	-72.046139	-78.342039	-76.004501	-74.245595	-69.136546	-64.152428	-54.838441	-59.483928	-49.837886	-43.722808	-38.745266	-34.405533	-29.283333	-27.784153	-27.258124	-26.386890	-26.436205	-26.008807	-26.679493	-26.561137	-151.374481	-26.801137	-152.535031	-25.252642	-26.081136	-172.405747	-183.866587	-150.450644	-145.542144	-142.573372	-157.006271	-183.166312	-199.959762	-208.511008	-183.008503	-240.371880	-216.283075	-270.657954	-301.647591	-253.450256	-248.025590	-175.351505	-65.017087	-18.726604	-5.411515	-42.562258	-82.602868	-184.514259	-282.299616	-294.441005	-316.701861	-252.454090	-302.808141	-226.178981	-190.984406	-187.049057	-168.848481	-177.550960	-192.963587	-216.003623	-193.223314	-215.227731
13:45:37:959	-42.716779	-53.546384	-65.763390	-70.606137	-74.584225	-73.542032	-72.545866	-70.066958	-63.494893	-62.275165	-50.383640	-44.712398	-37.081701	-33.014846	-29.378676	-28.520592	-29.398402	-26.958946	-26.048260	-26.866891	-26.679493	-27.106891	-153.409553	-26.429630	-151.795304	-26.975384	-25.706341	-174.582189	-178.918634	-149.260506	-138.605147	-142.392550	-184.343300	-194.127425	-195.863318	-182.827681	-191.375639	-175.459998	-209.632106	-265.197124	-290.538533	-249.389976	-253.430530	-175.351505	-42.335408	6.953435	-21.711815	-24.769354	-82.602868	-181.680282	-285.051401	-301.174166	-323.790091	-264.812466	-250.882581	-210.611834	-186.976728	-189.833719	-191.733996	-166.711492	-188.719197	-235.792147	-211.963069	-216.555952
