# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181219\Data002.txt																																																															
																																																																
Log date:	Mittwoch, 19.Dezember 2018	Log time:	14:27:16																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
14:27:06:134	-37.887182	-44.561165	-54.246660	-70.813261	-84.164514	-86.130545	-83.802870	-76.011077	-65.204485	-50.416517	-38.294854	-31.975940	-31.772104	-30.858130	-28.089907	-26.495384	-25.933191	-25.584697	-25.324971	-25.449903	-25.334834	-25.075107	-147.491736	-23.638393	-149.092834	-25.946342	-24.391271	-171.712047	-174.421093	-149.914753	-135.698841	-139.624326	-189.764678	-181.170692	-177.952057	-182.156995	-189.866596	-141.564055	-207.241965	-241.795444	-306.049790	-257.247522	-262.379585	-179.119182	-70.422027	-0.190685	0.486576	-19.900305	-67.620927	-171.892869	-256.760946	-301.976359	-341.826284	-262.054105	-197.760307	-200.183324	-183.077544	-192.394819	-188.078100	-190.080295	-200.840860	-196.915374	-220.382808	-222.398153
14:27:06:145	-52.369396	-57.103650	-65.464211	-75.879570	-89.401783	-89.862057	-87.215478	-74.705869	-62.048315	-44.347466	-37.114578	-25.864150	-25.745793	-24.105243	-23.884969	-24.009900	-23.605516	-23.766612	-24.072366	-24.118394	-23.871818	-23.986887	-150.499960	-24.480038	-149.924616	-23.414831	-24.858121	-169.913688	-175.808492	-148.721327	-135.057744	-138.440763	-161.033675	-168.825467	-183.419463	-186.223851	-195.449070	-165.057790	-212.564713	-247.262849	-299.106218	-254.535189	-263.717669	-169.630948	-90.302606	-13.042212	-13.121116	-26.738672	-67.620927	-186.141659	-275.997141	-281.780163	-324.796120	-233.208033	-176.692877	-194.512083	-208.566899	-184.047409	-178.649044	-184.645766	-206.505526	-192.680847	-215.037046	-219.705546
14:27:06:154	-41.135406	-48.092129	-57.629678	-72.933812	-93.573844	-92.784802	-88.116301	-78.822040	-68.991888	-55.906936	-47.395142	-35.122246	-33.747998	-28.675113	-27.231823	-26.222506	-25.933191	-25.203327	-24.746340	-25.354560	-24.877847	-25.075107	-148.849546	-25.788533	-150.112014	-25.236204	-24.391271	-172.093418	-171.948760	-146.886803	-135.514731	-139.259394	-167.885192	-182.544941	-175.219998	-169.972866	-202.405794	-178.882469	-199.249624	-250.004771	-339.429568	-266.712743	-285.422909	-168.273138	-88.882330	-17.332630	-25.361135	-37.689921	-77.201216	-170.466018	-299.362656	-277.756047	-356.032333	-260.676569	-211.811836	-197.349347	-211.252931	-178.471510	-180.000279	-190.080295	-173.990407	-208.234844	-189.597007	-206.258950
14:27:06:164	-43.364451	-54.131591	-66.042842	-80.577659	-95.615491	-97.824809	-88.619316	-78.519574	-63.491605	-48.680623	-43.390752	-32.337584	-32.189639	-29.467443	-25.699766	-25.666889	-23.792914	-24.627983	-24.746340	-24.213736	-24.969902	-24.529353	-149.724068	-25.042231	-148.721327	-28.579770	-23.457571	-171.146567	-174.917532	-146.337761	-134.419935	-138.713640	-161.033675	-175.676985	-173.852325	-165.925737	-202.405794	-209.296763	-189.906048	-229.473233	-290.771958	-287.020719	-271.864531	-184.550423	-87.462054	-20.173182	-10.395633	-30.851555	-66.272980	-171.892869	-271.884258	-261.603694	-340.422446	-256.566973	-230.084741	-193.091806	-196.494551	-185.421658	-182.699462	-149.375574	-185.300014	-194.078109	-193.601396	-192.812354
14:27:06:174	-47.355690	-57.383103	-69.041203	-80.117385	-91.265895	-92.179869	-85.407256	-81.629716	-68.903121	-54.075700	-46.211579	-40.333213	-23.671270	-23.013734	-23.023597	-22.813186	-23.326064	-23.957297	-24.266339	-23.737023	-24.055928	-23.441132	-149.332834	-23.546338	-148.813382	-22.300309	-22.803323	-170.673142	-172.938351	-150.371740	-134.968977	-138.986517	-162.404636	-188.022210	-183.419463	-176.752055	-192.657833	-200.988805	-208.576762	-247.262849	-301.890879	-258.602045	-273.222342	-185.888508	-83.194650	-20.173182	-21.274554	-14.416461	-85.394105	-160.497783	-271.884258	-266.995483	-321.948993	-260.676569	-211.811836	-236.998724	-211.252931	-211.874301	-180.000279	-179.230963	-166.908752	-179.944389	-190.938378	-194.160301
14:27:06:184	-44.107466	-54.874606	-60.240093	-76.247790	-86.827532	-89.355755	-85.108077	-80.827523	-68.541476	-58.990776	-53.763371	-46.356236	-34.681698	-31.255939	-29.335936	-27.323878	-26.771548	-26.350726	-25.998944	-26.117301	-25.699766	-25.528807	-149.138862	-25.883876	-150.016671	-28.073468	-24.674011	-175.598081	-170.462730	-148.813382	-136.428705	-139.259394	-170.604100	-161.954224	-192.963587	-186.223851	-187.095085	-194.087972	-201.902779	-222.615140	-310.225139	-270.779598	-282.707288	-175.042463	-81.774373	-44.462535	-17.207698	-39.060883	-79.920124	-170.466018	-280.126462	-300.628412	-331.887638	-249.685867	-206.203060	-198.766336	-192.463860	-191.000844	-192.125230	-180.588773	-142.872550	-184.178916	-197.622224	-214.320333
14:27:06:194	-45.406098	-49.762269	-57.051047	-67.311885	-79.101493	-82.402320	-77.082859	-70.494356	-58.349680	-46.274044	-44.028561	-35.661425	-31.357857	-29.566073	-27.136480	-26.679493	-26.025246	-26.064698	-25.420313	-26.403329	-25.242779	-26.166616	-149.724068	-26.163328	-151.039138	-25.946342	-24.858121	-173.987119	-169.673688	-148.905437	-136.977747	-139.805148	-163.775597	-175.676985	-194.331260	-186.223851	-173.158625	-200.988805	-217.903900	-248.633810	-335.250931	-273.488644	-279.991667	-185.888508	-50.557887	-53.023644	-15.843312	-30.851555	-53.973782	-163.331760	-256.760946	-285.824005	-304.899103	-242.821199	-221.661714	-214.346634	-187.108236	-170.124100	-193.476465	-194.157014	-176.801370	-206.817855	-213.695674	-202.221684
14:27:06:204	-49.213227	-54.315701	-64.014346	-74.590801	-85.496023	-87.540958	-82.198484	-74.104225	-58.800091	-45.600071	-37.295400	-30.358403	-27.409358	-26.288260	-26.561137	-25.943054	-26.025246	-26.735384	-26.189630	-25.831273	-26.248808	-26.347438	-152.051743	-25.509081	-150.480234	-25.946342	-25.232916	-170.768484	-171.353691	-151.565167	-136.704870	-140.627068	-166.514231	-171.554239	-182.051789	-190.270980	-189.866596	-191.319749	-199.249624	-226.731311	-311.619114	-250.491348	-261.021775	-175.042463	-51.978163	-27.323878	-25.361135	-34.944712	-84.026432	-179.007401	-267.754936	-297.932517	-330.464074	-267.557675	-224.456239	-203.020589	-193.805232	-209.106078	-188.078100	-191.438105	-175.387669	-213.902798	-196.284140	-196.852908
14:27:06:214	-45.034590	-45.583632	-58.017624	-67.956270	-76.260940	-78.572177	-74.778198	-70.392438	-59.523380	-50.705832	-45.304180	-36.470194	-32.916215	-30.759500	-29.717306	-28.247715	-27.981413	-25.394012	-27.057576	-25.735930	-25.883876	-25.801684	-149.237492	-25.788533	-150.388179	-28.783606	-25.232916	-166.885738	-168.779440	-148.813382	-137.066514	-140.081313	-152.834210	-172.928488	-172.504377	-180.802472	-177.324111	-181.650693	-204.572372	-241.795444	-333.856956	-241.022840	-271.864531	-154.708185	-67.578187	-40.172117	-13.121116	6.115078	-94.954668	-166.185463	-271.884258	-289.864559	-320.525429	-244.198735	-203.388809	-217.164173	-201.850176	-189.603582	-182.699462	-181.946584	-186.717002	-202.583328	-213.695674	-194.160301
14:27:06:224	-56.084471	-54.315701	-60.529409	-67.683393	-78.036285	-75.146418	-72.572167	-65.474074	-56.548033	-47.332676	-38.751841	-29.549635	-29.174840	-26.985247	-26.656480	-26.222506	-25.745793	-25.394012	-25.998944	-26.021958	-26.889905	-26.528260	-151.762427	-25.601136	-150.204069	-27.264700	-25.232916	-165.274777	-169.870949	-148.813382	-136.609527	-139.532271	-170.604100	-168.825467	-169.772318	-183.511518	-194.051808	-209.296763	-211.249643	-248.633810	-303.284854	-273.488644	-271.864531	-158.784904	-71.842303	-28.754017	-24.000037	-34.944712	-88.132739	-167.612315	-270.506721	-293.888675	-323.372557	-255.189437	-214.626086	-190.277556	-185.763576	-188.209607	-186.746591	-194.157014	-165.491764	-199.749351	-208.333474	-207.606897
14:27:06:234	-54.411043	-54.131591	-69.912437	-77.631901	-86.649997	-85.022598	-79.390808	-73.302032	-61.236259	-47.911307	-39.297595	-25.956205	-29.694293	-25.693191	-26.561137	-25.850999	-26.492096	-26.544699	-29.750183	-26.021958	-26.160041	-27.254837	-153.314211	-28.034016	-151.686811	-24.729901	-24.858121	-168.019987	-173.632050	-152.574483	-138.345420	-141.902686	-174.713696	-178.422195	-167.040259	-201.117024	-163.407377	-191.319749	-201.902779	-239.053522	-289.377983	-270.779598	-269.148911	-181.834803	-71.842303	-18.762769	20.883320	-22.622501	-18.447152	-176.153698	-256.760946	-296.584570	-303.495265	-264.805890	-237.100642	-205.838128	-197.835923	-185.421658	-184.047409	-179.230963	-188.114265	-223.805279	-219.041436	-196.852908
14:27:06:244	-50.419804	-49.486104	-58.017624	-70.076821	-82.829718	-85.828078	-84.003418	-76.313543	-65.296540	-56.196252	-49.213227	-39.166088	-38.942526	-30.858130	-30.194019	-28.247715	-27.143056	-26.926069	-26.478945	-26.117301	-26.524973	-26.255383	-148.948176	-24.762778	-149.740506	-27.060864	-25.045518	-170.673142	-171.156430	-147.527900	-135.879663	-140.535013	-219.843629	-164.702721	-179.319730	-191.628791	-191.260571	-198.240308	-192.575641	-237.682561	-313.009801	-281.599341	-242.032156	-165.554229	-91.726170	-15.902490	-15.843312	-30.851555	-67.620927	-170.466018	-274.619604	-277.756047	-310.590071	-248.308331	-225.863364	-197.349347	-199.180583	-195.182769	-173.270406	-184.645766	-186.717002	-198.332363	-213.695674	-207.606897
14:27:06:255	-46.336510	-43.259245	-51.632957	-63.350235	-72.979839	-75.849981	-76.382584	-68.988600	-63.041194	-55.038990	-41.388557	-31.887173	-29.901416	-27.580317	-27.136480	-25.482779	-25.094833	-25.298669	-24.940313	-24.881134	-26.340863	-24.802230	-149.918041	-24.762778	-149.184889	-25.035655	-24.391271	-164.140529	-170.758621	-149.454478	-135.971718	-140.081313	-174.713696	-182.544941	-175.219998	-182.156995	-192.657833	-165.057790	-209.911559	-237.682561	-315.774737	-293.776894	-262.379585	-184.550423	-80.350810	-48.733226	-22.635652	-11.671251	-78.572177	-181.861104	-271.884258	-230.666659	-316.258025	-255.189437	-217.440337	-204.417851	-187.108236	-191.000844	-193.476465	-183.287956	-175.387669	-205.417305	-211.016218	-221.053494
14:27:06:265	-50.883367	-49.762269	-56.758444	-71.365590	-80.702591	-79.578206	-78.388067	-69.087230	-66.105308	-57.064198	-41.664722	-31.975940	-26.163328	-23.707434	-23.595653	-24.286065	-24.627983	-25.680040	-25.226341	-26.590726	-26.524973	-26.166616	-154.090102	-27.563878	-152.242428	-24.627983	-24.674011	-171.429307	-173.829311	-151.657222	-138.164598	-141.718576	-166.514231	-197.618937	-177.952057	-171.330677	-187.095085	-207.912651	-197.914828	-245.891888	-317.168711	-277.555499	-263.717669	-170.988758	-74.686143	-23.033460	-29.447717	-39.060883	-70.359561	-186.141659	-281.503998	-271.019599	-336.155042	-252.437652	-207.610185	-198.766336	-195.149892	-185.421658	-202.902233	-192.799203	-161.263812	-228.056244	-211.016218	-215.668280
14:27:06:275	-50.235694	-48.927199	-51.731587	-65.194622	-77.063133	-81.997935	-79.992453	-73.203401	-69.534354	-61.975987	-47.483909	-39.524445	-34.057039	-31.255939	-29.141963	-28.339770	-27.517851	-26.926069	-26.574288	-26.307986	-25.518944	-26.347438	-149.431465	-25.975931	-150.575576	-27.567166	-32.054844	-170.673142	-172.737802	-149.822698	-137.615556	-141.172822	-170.604100	-185.273712	-180.684116	-186.223851	-170.367388	-188.551525	-205.907169	-247.262849	-297.712243	-255.893000	-265.075480	-183.192613	-74.686143	-21.603321	-11.756731	-39.060883	-60.798998	-190.402487	-297.985120	-271.019599	-348.937528	-248.308331	-171.080813	-207.255116	-193.805232	-191.000844	-165.176147	-199.571817	-202.254560	-206.817855	-220.382808	-215.668280
14:27:06:284	-54.411043	-56.640088	-62.465850	-69.064217	-79.101493	-79.279027	-77.487244	-68.084489	-64.754073	-55.617621	-46.211579	-41.861983	-35.720603	-27.182508	-23.118940	-25.022505	-23.605516	-24.246613	-24.266339	-24.309079	-24.785792	-24.348531	-148.073654	-23.733735	-148.533929	-24.831819	-24.391271	-166.885738	-174.322462	-147.162968	-135.606786	-139.532271	-177.455618	-189.396458	-160.228194	-192.983313	-201.011819	-180.266581	-208.576762	-256.843138	-314.403776	-278.890296	-267.791100	-158.784904	-64.754073	-28.754017	-7.670149	-33.593477	-84.026432	-179.007401	-282.881535	-277.756047	-341.826284	-215.332937	-193.558657	-198.766336	-204.536208	-186.815632	-190.777282	-168.378343	-181.052336	-215.319786	-219.041436	-215.668280
