# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181220\Data002.txt																																																															
																																																																
Log date:	Donnerstag, 20.Dezember 2018	Log time:	10:54:33																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
10:54:23:726	-42.963354	-51.573779	-61.939822	-73.696553	-80.834098	-86.340956	-85.565064	-83.809445	-71.848879	-62.452700	-48.036239	-39.297595	-31.956214	-28.793469	-27.580317	-27.554015	-25.492642	-26.386890	-26.452644	-26.166616	-25.966068	-25.887163	-26.478945	-156.835312	-151.854482	-27.928810	-25.634012	-170.482456	-172.543829	-148.155846	-137.546515	-141.008438	-165.833682	-179.710964	-183.620011	-179.694525	-192.957012	-203.152096	-210.878135	-255.419574	-313.374733	-277.407554	-291.087575	-183.705491	-102.693858	-44.403357	-23.625242	-35.388548	-61.975987	-171.419444	-263.043696	-255.334095	-344.321630	-226.695146	-215.030471	-191.536736	-206.462786	-175.325204	-185.175082	-189.041389	-199.894009	-210.667724	-197.687978	-212.538412
10:54:23:736	-46.770484	-55.847758	-63.488318	-71.303124	-79.591356	-78.884506	-75.235185	-70.464767	-61.660370	-64.763936	-51.494874	-43.611027	-32.787996	-27.803879	-26.337575	-27.369905	-26.423055	-26.771548	-26.357301	-27.120042	-26.607165	-27.159494	-26.383603	-154.497774	-152.689552	-25.801684	-25.449903	-168.210672	-172.839720	-149.349273	-138.460489	-142.829811	-169.923551	-194.801398	-194.551535	-186.473714	-192.957012	-187.946593	-222.878154	-230.771865	-339.787925	-343.710122	-296.499090	-189.140020	-78.549163	-7.288778	-24.969902	-17.582493	-79.742589	-182.801380	-256.159302	-309.159932	-325.844889	-241.811882	-217.844722	-214.188826	-185.007410	-175.325204	-198.651267	-203.970727	-180.089047	-196.517565	-204.394838	-207.149910
10:54:23:746	-63.386400	-59.658175	-70.352986	-70.474630	-79.680124	-80.797934	-81.153003	-73.374360	-53.901454	-64.573251	-43.124450	-36.782523	-29.569361	-25.916753	-25.956205	-27.001686	-26.423055	-26.676206	-26.163328	-26.357301	-26.331000	-26.432918	-24.831819	-149.543246	-150.651193	-26.610452	-28.251003	-167.359164	-172.741090	-147.695572	-137.727337	-141.554192	-171.291225	-193.427149	-174.075887	-185.119191	-199.913735	-200.383873	-208.208542	-254.048613	-330.062978	-254.410258	-277.525910	-193.197012	-74.304773	-14.436187	-12.723307	-31.275665	-55.150771	-161.461072	-238.297356	-263.418491	-331.535857	-239.060097	-206.604156	-208.537310	-172.935063	-189.248513	-186.523029	-179.549868	-170.196428	-196.517565	-208.399227	-220.596507
10:54:23:756	-53.174877	-52.783644	-69.291066	-64.763936	-73.910252	-71.122302	-71.927783	-67.657091	-52.638986	-59.368859	-53.769946	-47.115690	-35.178137	-29.293196	-28.918401	-27.646070	-27.912372	-27.248261	-27.415933	-26.929357	-26.423055	-26.524973	-26.672918	-155.431474	-152.965717	-28.129359	-26.008807	-167.168479	-169.772318	-147.330640	-137.362405	-141.646247	-190.451802	-207.146623	-178.175619	-168.864920	-199.913735	-207.304431	-218.870477	-245.839286	-350.906846	-263.875478	-284.298523	-189.140020	-68.620380	-45.833496	-35.868549	-21.695376	-78.374916	-181.377816	-249.294633	-260.722596	-335.786822	-239.060097	-219.251847	-190.119747	-179.635347	-192.036462	-194.600850	-187.683579	-171.610129	-210.667724	-228.496793	-224.637061
10:54:23:766	-52.063642	-56.406663	-67.065310	-66.328870	-74.709157	-72.332167	-69.922300	-67.755722	-54.713510	-57.925569	-51.402819	-43.252670	-34.451560	-27.902509	-27.389632	-27.461960	-27.632920	-27.537577	-28.379222	-28.260866	-28.070181	-28.885524	-28.418674	-154.685172	-154.543801	-27.521139	-26.850453	-167.641904	-169.969579	-154.573391	-140.650081	-143.648442	-193.170711	-196.175647	-186.355358	-186.473714	-198.519760	-232.178990	-237.544478	-237.610232	-364.807141	-281.471122	-288.371954	-190.497830	-65.776540	-32.985257	-31.781967	-28.533743	-74.271896	-168.569029	-243.784488	-275.527003	-317.329807	-239.060097	-202.379492	-204.283057	-195.735098	-183.689052	-197.303320	-193.118108	-177.255070	-186.615084	-208.399227	-216.555952
10:54:23:776	-52.339807	-57.429130	-69.580382	-73.512443	-79.058753	-77.875189	-77.240668	-71.066412	-51.468573	-44.827467	-42.032942	-37.502524	-29.358950	-26.212643	-26.528260	-26.449356	-26.981960	-26.196205	-26.837302	-26.643329	-26.972097	-26.797850	-23.858667	-147.202420	-150.743248	-26.206068	-26.104150	-169.630948	-169.177249	-151.640783	-138.184324	-142.464879	-169.923551	-165.991490	-193.187149	-172.935063	-174.835340	-183.813984	-206.873746	-228.029943	-335.609288	-265.230001	-276.168100	-193.197012	-64.375990	-28.714565	-15.448791	-12.098649	-70.185314	-137.267062	-257.536838	-283.594961	-328.692017	-252.805872	-223.476511	-168.884646	-207.807446	-171.163005	-183.823847	-168.700536	-184.336724	-197.934554	-204.394838	-196.399209
10:54:23:793	-42.687190	-60.401190	-72.483400	-77.750258	-82.076840	-79.992453	-85.364516	-76.786968	-62.107494	-55.709675	-48.493226	-42.263079	-32.373749	-27.406070	-26.814288	-26.630178	-25.956205	-25.624149	-25.394012	-25.788533	-24.779217	-24.706888	-26.284972	-153.001881	-151.482975	-26.409904	-24.700312	-170.387114	-167.891767	-148.524066	-136.905418	-141.008438	-171.291225	-190.681940	-174.075887	-183.761381	-194.350987	-215.589376	-224.212951	-243.094076	-320.334744	-282.828932	-289.729765	-185.063301	-74.304773	-44.403357	-18.174275	-36.743071	-77.007243	-158.610657	-263.043696	-290.311683	-310.215276	-240.437633	-209.418407	-194.374000	-186.332344	-192.036462	-195.952085	-190.402487	-191.395365	-212.088000	-208.399227	-217.903900
10:54:23:796	-53.362275	-65.418184	-75.672446	-80.146974	-84.029719	-81.504784	-83.460951	-78.092176	-63.731606	-58.408858	-47.128840	-39.297595	-32.580872	-24.821956	-20.791265	-23.592365	-24.095380	-24.184147	-28.280592	-24.930450	-26.515110	-25.071820	-27.353467	-155.244077	-153.245169	-23.776475	-25.729355	-169.440263	-170.959169	-148.339956	-137.089528	-141.189260	-174.033147	-192.056188	-198.631541	-171.577253	-194.350987	-211.437040	-222.878154	-270.486995	-334.218601	-281.471122	-307.345134	-186.421111	-95.585902	-28.714565	32.163338	-38.114032	-89.303152	-165.738339	-275.415222	-290.311683	-307.371436	-255.557657	-224.863911	-197.211265	-194.390439	-187.854538	-185.175082	-184.967958	-185.753713	-224.821171	-217.788831	-227.309942
10:54:23:806	-49.926653	-59.378722	-68.225859	-75.817104	-83.497116	-83.217663	-84.463693	-78.391355	-66.887775	-60.335436	-51.583642	-44.331028	-36.111837	-31.078404	-28.632373	-28.658675	-27.820317	-27.918947	-28.569907	-28.546894	-27.794016	-28.158948	-26.189630	-151.223248	-152.318045	-27.928810	-26.942508	-172.188760	-175.611231	-149.257218	-139.098298	-143.467620	-179.490689	-200.298393	-176.807946	-195.945510	-204.102235	-185.178370	-229.535699	-262.257941	-321.708992	-278.762076	-284.298523	-194.554822	-89.921235	-13.006048	-5.930968	-32.646626	-71.552988	-182.801380	-268.530828	-291.659631	-321.577485	-234.950502	-213.623345	-212.791563	-187.673716	-198.986610	-190.553720	-186.325769	-192.812354	-204.999770	-221.793221	-234.043103
