# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Users\systemverwalter\Desktop\PSI system test\20181201\5019.dat																																																															
																																																																
Log date:	Samstag, 01.Dezember 2018	Log time:	17:28:38																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
17:28:28:218	341.839435	0.989591	0.138082	0.144658	0.890960	0.065754	-0.111781	0.424110	0.775892	0.433973	0.410960	-0.230137	-0.184110	0.647672	0.917262	-1.032330	0.272877	0.805481	0.309042	0.890960	-0.016438	0.588494	0.111781	0.207124	1.298632	0.519453	2.084387	0.378083	0.618083	0.489864	0.197261	0.387946	1922.047914	1468.644471	5.628502	1.578085	18.835098	14.248789	32.432927	10.563304	-7.637272	14.238926	13.568240	22.530446	9.636179	13.298651	4.990693	8.189602	21.751267	15.567147	-1.601098	-0.641097	3.248224	2.939183	-3.784115	6.355078	15.547421	16.027422	12.052621	-0.526028	9.698645	1.167125	22.060308	17.273451
17:28:28:228	347.780266	0.062466	-0.440549	0.424110	0.890960	0.269589	0.187398	0.723289	0.233425	-0.144658	0.503014	0.216987	0.335343	0.249863	0.437261	-0.387946	0.460275	0.039452	0.019726	0.131507	0.075617	0.407672	0.207124	0.394521	-0.092055	0.216987	1.992332	-0.095343	0.417535	0.397809	0.105206	0.299179	1913.818860	1542.788147	22.020856	2.935895	2.113976	30.854842	17.753452	16.037285	9.067411	-8.778096	16.267423	18.470166	13.903583	14.732078	-12.720020	12.305773	-4.254253	14.137008	-4.359459	31.712926	14.626872	22.221404	15.905778	16.280573	16.892081	11.838922	17.441123	21.212088	18.207152	4.004390	0.604932	7.850971
17:28:28:238	347.037251	0.430686	0.236713	-0.407672	0.539179	-0.841645	0.187398	-0.279452	0.322192	0.433973	0.503014	0.128219	0.647672	0.348494	0.437261	-0.295891	-0.286028	-0.345206	0.499727	-0.059178	0.348494	0.223562	0.013151	0.019726	-0.184110	0.420823	1.896989	0.378083	0.716713	0.124932	0.381370	0.207124	1880.968398	1603.179474	22.020856	11.059743	21.629623	4.573158	-10.254262	18.782495	3.491512	26.429630	9.491522	8.968781	5.365488	-2.423017	-1.808222	-0.029589	-0.141370	9.869604	17.664685	12.835088	13.223034	18.085508	15.905778	2.094250	15.547421	17.404959	29.589087	2.196168	5.464118	13.920022	5.980283	17.273451
17:28:28:248	350.656982	0.430686	-0.440549	0.236713	0.180822	0.572056	0.690412	-0.078904	0.595069	0.529316	0.318905	0.309042	0.023014	0.447124	-0.233425	-0.016438	0.085480	0.230137	0.309042	-0.059178	-0.473425	0.315617	0.207124	0.302466	0.092055	0.519453	1.992332	0.000000	0.023014	0.489864	-0.167671	0.480001	1867.275226	1592.218361	20.653183	23.257022	16.060299	-5.105761	39.097047	6.443846	18.802221	21.021402	1.354523	11.671251	6.789052	3.300827	6.355078	16.405505	1.229591	14.137008	3.912335	4.757268	3.248224	1.561646	31.390734	10.619195	-0.581919	10.441660	17.441123	21.212088	32.354023	23.855379	16.707971	34.786903
17:28:28:258	351.399997	0.710138	0.621371	0.328768	0.713426	0.167671	-0.213699	-0.078904	1.045481	0.627946	0.318905	-0.049315	0.647672	0.647672	-0.039452	-0.016438	-0.006575	0.134795	0.404384	0.036164	-0.016438	0.042740	-0.180822	-0.072329	0.555617	0.420823	2.646579	0.095343	0.516165	0.305754	0.289316	0.572056	1890.545399	1568.879147	8.363849	21.899212	17.437835	-2.334250	11.089332	11.937553	22.984145	-1.995620	12.207142	6.249873	25.265793	6.144667	18.608248	2.715621	10.803304	-1.541920	2.534798	12.835088	14.626872	38.725540	15.905778	4.934802	18.240028	17.404959	-5.503570	14.426324	13.952898	-5.911242	-6.092064	7.850971
17:28:28:268	351.120545	0.338631	0.913974	0.424110	1.071782	0.269589	-0.414247	0.723289	0.052603	0.821919	0.864659	0.039452	-0.078904	-0.545754	0.151233	-0.111781	0.460275	-0.440549	0.309042	0.131507	0.532604	-0.049315	-0.085480	-0.167671	0.000000	-0.187398	2.367127	-0.473425	0.618083	0.213699	0.105206	0.115069	1875.500992	1645.735156	-5.296447	25.972643	11.871799	5.957270	-7.601108	13.288788	21.590170	4.767131	9.491522	15.751257	13.903583	-13.854268	10.425222	-6.890970	9.432343	7.012614	8.012067	12.835088	16.053724	13.949611	-12.220293	26.206068	3.455348	14.630160	24.200585	23.934284	30.953473	18.177562	-7.433436	15.925504
17:28:28:278	341.464639	0.338631	0.720001	0.052603	0.269589	-0.032877	0.489864	0.019726	0.144658	-0.144658	0.591782	0.128219	0.854796	-0.246576	0.532604	-0.848220	0.180822	0.134795	0.115069	1.272331	-0.381370	0.223562	-0.279452	0.766029	0.279452	0.624659	2.084387	0.282740	0.220274	0.124932	0.289316	0.480001	1964.478665	1567.501610	-9.399467	25.972643	-10.438372	8.728781	21.761130	9.192343	13.249336	16.954547	12.207142	17.112355	3.945212	6.144667	4.990693	9.560563	-4.254253	25.568259	6.654257	16.885506	4.675076	27.715111	-2.376990	-2.146853	8.817548	13.232897	18.792358	11.704128	19.627428	13.920022	19.394003	28.043879
17:28:28:288	343.693684	0.805481	-0.055890	0.516165	0.180822	-0.236713	0.890960	-0.378083	0.414247	0.723289	0.410960	0.039452	-0.184110	0.249863	-0.039452	-0.203836	0.368220	0.420823	0.309042	1.367673	0.075617	0.407672	0.789042	0.207124	-0.092055	0.016438	2.271784	-0.190685	0.618083	0.213699	-0.348494	0.299179	1969.962509	1633.376781	16.550163	11.059743	-6.266311	25.315108	1.752331	10.563304	9.067411	27.784153	2.712333	6.249873	1.117810	37.591291	22.681679	-1.400550	12.174265	7.012614	8.012067	7.456450	20.327703	12.572074	1.850962	16.280573	16.892081	13.232897	9.350151	10.343030	23.861955	6.844942	9.991248	-6.963298
17:28:28:298	344.065191	0.710138	0.815344	0.516165	0.539179	0.065754	0.789042	0.522741	0.414247	0.433973	-0.042740	-0.410960	0.440549	0.249863	-0.039452	-0.295891	-0.657535	0.516165	0.309042	0.322192	0.075617	-0.322192	0.496439	-0.167671	0.000000	0.825207	1.338084	0.473425	0.913974	-0.059178	-0.259726	0.026301	1922.047914	1615.537849	0.157808	2.935895	9.077274	7.341381	-2.255346	14.663036	3.491512	11.526593	16.267423	3.530964	9.636179	4.711240	4.990693	17.776466	-4.254253	7.012614	10.770428	4.757268	18.904139	13.949611	4.652062	17.700849	14.202762	14.630160	6.644394	17.148520	11.115634	11.102483	11.332620	18.621399
