# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181203\Data002.txt																																																															
																																																																
Log date:	Montag, 03.Dezember 2018	Log time:	12:59:06																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
12:58:56:171	-66.062568	-83.704239	-104.459340	-113.316340	-115.058809	-110.784829	-107.405098	-96.328917	-80.518481	-61.877356	-55.315154	-41.615407	-38.788005	-31.298679	-29.957307	-30.072375	-30.032923	-29.549635	-29.178127	-33.461970	-29.418128	-29.427991	-30.006622	-186.631522	-186.667687	-27.544152	-29.026894	-210.661149	-219.761437	-192.874820	-168.914235	-175.292327	-254.180120	-252.598748	8.978644	-7.972615	9.573713	0.581919	16.441669	-0.328768	21.524417	1.390687	1.706304	-33.771011	8.758370	10.477824	15.031256	6.062475	7.305217	6.049324	18.161124	20.255374	8.429602	13.818104	-5.132063	-9.600015	3.484937	4.484391	17.095917	6.720010	21.580307	26.623603	10.122755	11.852073
12:58:56:182	-56.597348	-79.062040	-97.594672	-106.777152	-109.736061	-106.247836	-103.995778	-97.630836	-89.359043	-71.990249	-62.955714	-54.822003	-46.372675	-35.569370	-32.442790	-32.373749	-31.055391	-30.315663	-30.430732	-30.226896	-29.326073	-29.247169	-30.976486	-189.715363	-187.223304	-30.986349	-29.681142	-215.392115	-216.098965	-189.205773	-169.463277	-174.927395	-254.180120	-240.253523	14.432899	12.378101	9.573713	4.740829	1.772058	14.758379	0.647672	2.748497	-1.012604	28.724428	-1.206577	11.907964	-2.689319	3.317265	49.732680	-9.646042	-1.104659	-1.298632	-8.649876	8.304670	20.192908	6.003297	10.191797	-1.078358	11.687689	13.505774	17.326054	11.049880	6.111790	6.456996
12:58:56:191	-65.878458	-84.263144	-99.721799	-107.237427	-113.996889	-105.642904	-101.086184	-94.221516	-84.125062	-66.210514	-59.408311	-47.003909	-40.971022	-33.383065	-31.870734	-33.018133	-32.265256	-31.367720	-32.643338	-32.321146	-32.160050	-31.972652	-31.170459	-186.444125	-189.353718	-32.811010	-31.735940	-217.285817	-222.828839	-195.807427	-172.566843	-177.294522	-250.083676	-245.740655	26.732096	11.020291	6.795627	-11.875087	8.439465	1.045481	2.041647	21.728253	4.408774	8.334260	17.276739	6.200558	4.132609	7.436724	19.620852	20.317840	9.886043	-2.646579	2.728771	9.682207	8.939192	8.843849	-0.552330	15.636189	-1.808222	1.278906	6.000009	23.806064	19.525510	14.551255
12:58:56:201	-79.801768	-101.451116	-103.298790	-104.751943	-101.835774	-93.853296	-93.166172	-77.868614	-62.843933	-53.881727	-50.857065	-38.649923	-33.077312	-28.619222	-28.619222	-28.964429	-28.915113	-29.743608	-28.888812	-29.372100	-29.326073	-29.427991	-29.135388	-186.723577	-186.759742	-27.238398	-29.681142	-214.067181	-219.662807	-194.798110	-171.379992	-175.838081	-215.832664	-247.114904	26.732096	4.231239	1.206577	-0.802193	9.774262	2.416442	3.435622	17.658110	8.488780	16.497560	22.947981	16.204957	9.573713	3.317265	-3.639458	7.479464	16.780300	2.732059	14.107419	-5.460830	7.528779	14.508516	14.229063	10.070153	11.687689	14.866872	6.000009	-1.703016	4.767131	-2.962196
12:58:56:211	-70.980932	-95.783162	-104.942629	-106.869207	-104.853861	-96.069190	-91.459868	-81.281222	-70.872439	-60.335436	-54.315701	-43.949657	-37.752387	-31.893748	-32.919503	-33.294298	-32.824161	-32.998407	-33.317312	-32.889914	-32.709092	-31.972652	-34.661972	-196.356469	-192.135093	-33.317312	-32.018680	-217.003076	-222.135139	-193.515917	-174.391503	-178.386030	-262.409174	-264.963699	13.065226	1.535345	10.970976	-7.716176	8.439465	3.790691	20.130442	31.209911	9.849878	-9.317275	-4.030691	26.209356	-8.127136	34.862520	4.563295	0.355069	8.508506	-5.345762	-4.375897	26.206068	-7.949601	23.030173	11.539744	-5.270145	3.596718	8.081108	-3.909047	32.301420	-8.643301	7.808231
12:58:56:221	-78.407793	-85.285612	-107.069755	-118.658814	-121.450051	-114.815521	-108.707018	-94.724531	-83.766705	-70.159013	-58.770502	-51.136518	-45.333769	-38.945814	-37.127729	-36.151289	-35.431288	-35.773206	-35.240603	-35.842247	-35.086082	-34.967725	-31.459775	-185.977275	-190.560296	-37.568277	-34.260875	-216.342254	-224.906650	-194.249069	-176.219452	-180.391513	-256.922043	-263.605888	14.432899	15.073996	9.573713	28.267441	13.768788	2.416442	20.130442	8.176451	19.347975	4.270692	-1.206577	16.204957	0.039452	15.655915	12.785773	1.785208	3.031238	21.603321	-47.056511	26.206068	-12.177553	11.687689	4.809870	1.712879	-3.159457	-0.082192	38.557868	5.372063	4.767131	5.109049
12:58:56:231	-82.583142	-99.222072	-107.168385	-118.934979	-116.124016	-110.179897	-104.998519	-90.108633	-67.081748	-51.185833	-43.216505	-42.420888	-36.503070	-34.277313	-29.095936	-30.164430	-29.286621	-30.891007	-30.910733	-31.558405	-29.967170	-30.789089	-32.140324	-190.931803	-190.468241	-31.492652	-30.618130	-213.311016	-221.346097	-188.380566	-172.017801	-177.659454	-250.083676	-237.501738	2.136990	19.147427	9.573713	21.337019	9.774262	10.638921	10.389057	24.443874	0.348494	6.973162	10.158920	6.200558	13.666871	-2.156716	8.676178	1.785208	-10.737551	9.478371	11.276730	15.195640	0.483288	15.928792	11.539744	12.864677	8.985219	18.946879	8.833986	-7.380833	18.180850	-4.310144
12:58:56:241	-82.399032	-96.618232	-105.619890	-114.792507	-115.683467	-111.084008	-108.105373	-95.526724	-73.574909	-59.178174	-52.767205	-50.866928	-47.099251	-35.072931	-31.870734	-33.481696	-33.291011	-33.189093	-33.218682	-33.083887	-32.893202	-33.968272	-33.208819	-190.369610	-191.487420	-32.607174	-33.139777	-215.204717	-220.553767	-191.408516	-175.213423	-180.115348	-243.225583	-236.127490	8.978644	8.304670	22.129349	-4.941378	8.439465	-5.802749	7.601108	14.942489	8.488780	16.497560	7.334806	10.477824	4.132609	15.655915	23.730448	8.909603	-1.104659	-5.345762	14.107419	15.195640	30.036211	13.084952	-1.900277	0.315617	13.038924	1.278906	14.488790	13.870706	4.767131	10.504126
12:58:56:251	-70.333260	-87.330546	-99.333853	-107.973866	-130.326778	-120.056077	-114.522917	-103.551942	-84.578761	-73.528881	-70.596274	-68.386955	-58.422008	-42.618148	-36.266358	-32.926078	-31.242788	-31.558405	-31.489364	-31.367720	-31.430186	-31.154021	-27.777577	-187.006318	-187.870976	-31.795118	-31.643885	-211.512657	-215.605814	-189.024951	-173.569584	-177.932331	-236.387216	-240.253523	11.697552	-1.180276	10.970976	24.108531	3.090416	18.881125	-3.534252	4.103020	12.568787	15.136462	10.158920	-8.100834	-2.689319	21.149622	3.192334	14.623584	8.508506	1.380824	5.579187	-1.324934	3.300827	3.162745	8.847137	-5.270145	21.129896	6.720010	10.254262	19.548523	7.456450	-0.266302
