# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181220\Data002.txt																																																															
																																																																
Log date:	Donnerstag, 20.Dezember 2018	Log time:	13:19:00																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
13:18:50:848	-38.189648	-44.235685	-48.654322	-54.042824	-65.973801	-67.285584	-67.989147	-61.683383	-52.655424	-47.211032	-49.071857	-44.261986	-36.394577	-40.060336	-25.834561	-25.315108	-25.150724	-25.334834	-25.157299	-24.775929	-24.920587	-24.798943	-23.944147	-145.134472	-145.778856	-25.604423	-24.121681	-163.147650	-168.016699	-146.498857	-132.697192	-135.416101	-124.307042	-214.017866	1.502468	-13.315089	10.129331	114.647849	7.134258	3.106854	-4.122746	13.370980	30.220321	8.311246	-0.164384	34.267450	11.076182	-7.979190	5.365488	1.489317	6.976449	1.712879	8.787959	8.176451	-4.096445	-3.780828	2.695895	7.032340	5.658091	12.000019	6.115078	12.371526	22.954556	1.223016
13:18:50:858	-44.873494	-55.758991	-60.743108	-58.556803	-66.772706	-65.875171	-66.082294	-61.282287	-55.722826	-43.068560	-36.881153	-34.737588	-26.524973	-24.170996	-21.915650	-21.353458	-22.356199	-22.655378	-23.234009	-23.444420	-23.181406	-23.434557	-23.746886	-146.909817	-144.296114	-22.264144	-23.187981	-163.999159	-166.432039	-145.673651	-131.783218	-135.231991	-124.307042	-187.946593	5.582474	13.775364	-9.373165	-0.098630	8.472342	4.477815	2.840552	5.256994	34.297040	0.177535	16.855917	14.281666	-3.899184	12.558924	13.578103	5.773160	8.353986	15.172626	-5.424666	2.689319	-5.503570	1.893702	6.710147	-9.682207	9.708508	13.357829	7.532066	8.120561	1.528769	-9.530974
13:18:50:868	-40.974310	-47.115690	-52.135971	-52.569945	-66.861474	-65.773253	-65.783116	-64.293798	-59.059818	-51.159531	-43.614314	-39.320609	-33.172654	-29.927718	-26.123876	-26.419767	-24.220312	-26.005520	-25.446615	-25.538670	-25.650451	-24.706888	-25.009354	-144.947074	-146.334474	-27.429084	-24.963326	-166.744368	-167.421630	-144.756389	-132.970069	-136.326787	-136.622678	-207.146623	26.048260	23.250447	3.169320	4.056993	4.464664	-7.850971	9.784125	17.434548	4.448226	8.311246	-15.784134	7.130970	-2.534798	-10.721113	14.945777	7.200011	-1.246029	16.520574	8.787959	-4.175349	16.980848	1.893702	2.695895	8.426314	9.708508	9.281110	4.698089	-13.107966	24.299216	18.713454
13:18:50:878	-46.918429	-52.132684	-53.007206	-52.385835	-58.961187	-57.307486	-60.164477	-66.197363	-60.141463	-51.738162	-48.983090	-41.835681	-33.484983	-32.015392	-28.990730	-25.038943	-22.915104	-24.092092	-24.194010	-24.489901	-24.187435	-24.161133	-24.720038	-145.321869	-146.150364	-25.101409	-23.750174	-165.136695	-169.203550	-144.023237	-132.513082	-135.777745	-129.771160	-194.817837	5.582474	2.942470	4.546856	20.649895	11.122209	4.477815	19.515647	-15.057558	12.598376	-16.116189	8.344123	4.270692	12.417554	-21.678938	16.316738	10.053714	5.602200	12.476732	5.940831	-2.817539	7.147408	10.389057	-2.679456	-4.103020	2.958909	17.418109	10.346317	20.860306	6.894257	1.223016
13:18:50:888	-53.786385	-60.591875	-64.902019	-62.518453	-64.905306	-66.177637	-68.689422	-67.002844	-56.715704	-43.163903	-41.704174	-37.703072	-31.301966	-28.438400	-28.129359	-24.118394	-24.963326	-24.762778	-25.640588	-25.252642	-25.101409	-26.160041	-26.853740	-148.593107	-147.909271	-24.897573	-24.404421	-165.892860	-172.866022	-144.207347	-133.062124	-136.234732	-146.196391	-211.269369	0.134795	-18.720029	-9.373165	23.401680	19.137564	3.106854	12.572074	18.772632	15.297558	-16.116189	1.255892	19.982497	-12.055909	7.091518	13.578103	18.598385	0.128219	4.408774	-16.790163	-5.552885	-4.096445	24.555655	21.475102	20.958937	-5.122200	13.357829	14.597283	29.365525	8.235629	-5.490419
13:18:50:898	-43.758972	-51.297614	-57.166116	-58.280638	-63.133249	-62.449412	-67.686680	-66.900926	-61.315164	-51.833505	-50.528298	-42.555682	-37.226359	-32.413201	-31.666898	-28.724428	-27.945249	-28.017578	-27.563878	-27.442234	-26.932645	-26.613740	-28.112920	-147.938860	-147.541051	-29.658128	-26.459219	-167.125739	-169.598071	-147.324064	-133.699933	-138.144872	-148.938313	-198.920857	-9.432343	19.203317	-1.019180	8.209328	-3.530964	14.064679	4.234527	-0.164384	4.448226	-5.240556	28.227989	-11.424675	17.868521	-1.121098	16.316738	0.062466	8.353986	9.800563	8.787959	12.305773	24.019763	3.313978	12.085498	22.333185	4.306856	16.057011	3.281101	15.208791	0.187398	9.304124
13:18:50:908	-58.800091	-63.843387	-64.902019	-60.121737	-65.352430	-63.356811	-61.670233	-59.076256	-53.286658	-44.899796	-39.337047	-33.300874	-28.083331	-25.061957	-26.219219	-24.946888	-23.381954	-24.953463	-24.581956	-25.061957	-24.644422	-25.252642	-26.077849	-144.664334	-145.407349	-25.706341	-24.404421	-164.663269	-168.608481	-145.765706	-133.154179	-136.599664	-129.771160	-192.069339	9.682207	31.390734	35.217589	26.169904	7.134258	-9.221932	15.356736	2.544661	18.013179	1.535345	-7.272340	11.421388	58.701461	-13.446596	-6.917271	-7.052066	12.486595	27.287714	21.577020	23.303050	24.019763	-25.025792	29.520046	-2.709045	16.438382	14.699201	20.245511	18.042768	17.608794	2.570963
13:18:50:918	-47.658156	-50.370489	-60.453792	-56.252142	-61.712972	-59.322832	-57.659268	-56.064745	-49.588022	-43.259245	-41.066365	-35.815946	-30.263061	-27.646070	-28.323332	-26.603877	-26.173191	-25.719492	-25.929903	-25.729355	-25.377574	-25.979218	-25.883876	-146.722419	-146.890091	-23.477297	-25.712917	-169.111495	-169.798620	-145.673651	-132.970069	-137.053363	-140.715835	-185.198096	21.964966	5.658091	21.277841	9.573713	25.798396	1.735893	4.234527	3.899184	7.167134	30.039499	-4.428500	5.700831	-6.624668	22.162226	9.471796	12.887691	9.731522	15.172626	-5.424666	19.190167	2.942470	20.298114	17.460849	16.777012	9.708508	3.846581	-8.031793	3.886033	-2.475620	2.570963
13:18:50:928	-38.097593	-41.819243	-51.458710	-52.477890	-57.718446	-62.751878	-57.659268	-56.367211	-48.687199	-40.468008	-37.972662	-34.109642	-29.954019	-27.941961	-27.843331	-27.064152	-26.452644	-26.771548	-25.640588	-25.729355	-25.926616	-24.798943	-23.944147	-147.005160	-145.962966	-26.820864	-25.525519	-167.977247	-169.598071	-146.318035	-133.884043	-137.234186	-137.993639	-216.766364	17.865233	12.420841	-3.810417	35.842247	16.464683	9.948509	1.446578	12.013169	3.090416	13.749062	9.767686	5.700831	4.260829	2.975347	35.441151	12.887691	12.486595	9.800563	10.211523	23.303050	8.554534	-9.435631	10.740839	7.032340	36.670742	10.642208	3.281101	-3.202197	0.187398	1.223016
