# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181220\Data002.txt																																																															
																																																																
Log date:	Donnerstag, 20.Dezember 2018	Log time:	18:39:18																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
18:39:08:577	-23.266885	-27.932098	-27.754564	-29.881690	-32.511831	-41.296502	-55.022551	-59.786394	-62.912974	-60.822012	-55.594607	-48.480075	-41.980339	-38.574306	-37.781976	-34.145806	-27.027987	-25.696478	-25.127710	-25.657026	-25.219765	-26.429630	-24.956751	-146.373926	-145.989268	-27.938673	-24.401134	-166.392587	-163.663816	-145.321869	-135.912540	-140.265423	5377.113001	4051.137245	13.459747	9.833440	21.504691	9.692070	4.359459	11.273442	-6.387955	25.775382	2.840552	-6.572065	4.421925	20.051538	-1.134248	15.419202	5.365488	14.288241	21.968253	29.917855	16.014271	-4.425212	12.673992	13.134267	4.198363	18.174275	-1.213153	40.020884	9.678919	5.191241	9.507960	9.721659
18:39:08:590	-29.207717	-34.898684	-37.328277	-37.344715	-40.944721	-49.255967	-58.132693	-62.594070	-63.455441	-54.657619	-46.043907	-36.437317	-30.966623	-32.715667	-38.834033	-32.301420	-21.534280	-22.250993	-23.779763	-23.661407	-24.029626	-24.157846	-23.207707	-146.469268	-144.874745	-23.381954	-22.813186	-168.851769	-164.752036	-145.782144	-137.375556	-139.535559	4362.907592	5850.472640	21.662499	-9.120014	-6.378092	9.692070	9.701933	9.902481	-7.778642	1.416989	1.502468	4.283842	5.822475	2.906306	15.182489	4.464664	19.032358	8.600561	6.835079	5.690968	1.821373	3.816992	5.635077	79.699850	6.867956	5.641653	6.864668	114.667575	-12.946869	2.357264	-7.893711	5.681105
18:39:08:600	-27.166070	-33.041147	-36.266358	-36.052659	-38.991841	-45.830208	-56.127210	-61.489410	-71.033535	-66.601747	-50.409941	-34.553478	-28.369359	-29.339224	-32.807722	-31.104706	-24.233462	-23.684420	-23.779763	-24.516202	-24.213736	-24.430723	-26.314561	-147.310914	-148.119682	-24.493189	-24.867984	-165.159708	-161.783265	-143.030359	-135.182676	-139.262682	5915.036028	4106.048015	18.927153	23.378666	1.998907	1.403838	8.367136	-5.151789	20.021949	2.771511	-9.346864	8.340835	7.246039	12.917280	13.821391	3.093703	-5.569324	15.715093	-2.764936	-2.376990	-5.296447	1.061919	22.507432	6.039461	1.509043	2.850415	-125.204578	6.095352	11.095908	12.263033	9.507960	7.029052
18:39:08:606	-22.615926	-25.515656	-26.206068	-25.278943	-37.127729	-43.614314	-57.531048	-65.405033	-74.732171	-68.719011	-55.959539	-47.401717	-36.266358	-35.990193	-36.535947	-31.380871	-27.678947	-25.982506	-26.666343	-25.657026	-24.946888	-25.610999	-22.142500	-142.823235	-143.115839	-25.709629	-24.026339	-165.633134	-158.318054	-143.398579	-135.458840	-139.989258	4922.703529	4999.513511	8.015355	4.428500	-7.752341	19.384140	-36.966633	12.647691	11.681114	16.306875	-6.647682	5.641653	7.246039	30.042786	2.935895	-6.489873	4.014253	12.861390	17.835644	16.454820	16.014271	1.061919	5.635077	4.638911	18.943591	-5.496995	4.165486	0.673974	15.346873	6.611517	12.190704	24.503052
18:39:08:617	-24.752915	-29.230730	-32.590736	-32.183064	-43.962808	-45.425824	-55.824744	-63.596811	-69.859834	-58.316803	-36.670742	-36.529372	-33.044435	-29.237306	-30.608267	-27.514563	-23.023597	-24.069078	-24.739764	-24.325517	-24.305791	-24.976477	-25.732643	-145.532281	-145.713103	-25.407163	-23.280036	-168.569029	-161.881895	-143.947621	-135.639663	-139.443504	4733.823236	5720.076821	-0.167671	7.140833	-11.940840	16.615916	157.706546	-6.522750	13.075089	1.416989	31.328268	31.410460	1.578085	15.757833	7.025764	-37.985812	2.646579	4.316719	28.832921	15.106873	13.186870	2.439456	0.026301	0.384658	13.587966	25.127710	10.915085	11.529881	-4.467952	26.419767	12.190704	37.952936
18:39:08:626	-22.803323	-25.699766	-28.142509	-28.408811	-37.305263	-41.598969	-55.022551	-58.780365	-59.125571	-51.478436	-42.677326	-37.338140	-31.591282	-28.244427	-29.940868	-27.327166	-23.954010	-23.684420	-24.453737	-23.753462	-24.029626	-23.612091	-25.732643	-147.028173	-147.564065	-24.900861	-23.000584	-163.361349	-157.233121	-141.195836	-134.636921	-139.170627	6216.167454	4188.391157	18.927153	19.328249	6.167681	16.615916	17.697562	-13.384130	-9.172617	5.483844	2.840552	49.061994	2.998361	-2.797813	5.661379	9.951796	8.100834	22.852638	28.832921	8.386862	27.379769	2.439456	1.433427	7.456450	13.587966	11.201113	1.486030	14.248789	9.678919	22.165514	13.532076	32.584160
18:39:08:636	-21.688801	-24.121681	-24.272914	-23.986887	-30.736486	-33.636217	-40.484446	-55.673511	-57.323925	-57.836802	-55.959539	-50.728846	-38.031840	-40.063624	-42.371573	-39.120061	-29.260319	-25.791821	-26.183054	-26.991823	-33.997861	-27.064152	-25.150724	-145.815021	-146.544885	-26.926069	-25.150724	-166.958067	-159.011754	-142.021042	-135.093908	-140.446245	4480.609692	5378.309715	18.927153	3.070690	15.938655	26.288260	7.032340	5.806036	-3.619732	5.483844	5.556173	9.701933	5.822475	2.906306	16.546875	15.419202	90.102058	12.861390	23.345790	0.299179	35.917864	38.176498	7.042203	14.551255	-2.521648	-1.331509	20.347429	-0.683837	13.929885	25.002779	10.849332	12.397827
18:39:08:646	-25.492642	-27.281138	-27.172645	-28.777031	-40.855954	-40.691570	-50.311311	-57.577076	-58.405570	-49.071857	-46.589661	-42.729929	-32.423064	-33.310737	-33.192380	-32.672927	-27.678947	-25.216477	-26.281685	-25.943054	-24.578668	-25.795109	-25.538670	-148.619409	-145.062143	-26.926069	-24.775929	-168.664371	-162.079156	-141.379945	-134.817743	-138.989805	5058.198534	5143.609077	10.747414	16.615916	29.861964	8.327684	7.032340	1.689866	-7.778642	12.240019	69.304217	1.564934	8.666315	20.051538	12.457006	11.322757	35.441151	4.316719	9.590152	21.830171	-5.296447	21.675650	-9.807139	1.801647	1.509043	18.174275	24.397846	7.453162	15.346873	20.748525	-7.893711	11.049880
18:39:08:656	-23.546338	-24.213736	-23.694283	-26.291548	-32.692653	-38.778142	-46.300346	-55.772141	-54.618167	-52.731041	-53.049945	-47.582540	-37.614305	-35.792932	-32.712380	-30.460321	-26.745247	-25.311820	-25.413738	-24.611545	-24.305791	-23.884969	-25.538670	-148.619409	-148.307079	-26.012095	-23.372091	-167.717521	-158.518602	-140.922958	-135.366785	-139.170627	5946.512241	5267.146803	16.195094	24.736477	18.713454	1.403838	8.367136	7.176997	15.859751	17.661397	9.632892	25.992369	12.933719	0.065754	23.362228	11.322757	9.471796	15.715093	8.212615	-3.724937	17.437835	-14.061392	19.693181	-37.864168	9.557275	25.127710	-10.645496	0.673974	-0.216987	-4.730966	2.820826	24.503052
18:39:08:666	-23.822503	-24.493189	-23.694283	-20.117291	-30.828541	-37.568277	-48.003362	-58.280638	-60.210504	-56.291594	-55.321730	-47.043361	-34.915123	-31.920050	-29.270182	-28.895387	-24.792367	-24.450449	-24.259764	-24.802230	-24.762778	-24.069078	-23.598941	-145.065431	-145.062143	-23.480584	-22.158938	-166.106559	-161.684634	-140.281862	-134.817743	-137.441309	4465.568573	5205.377940	3.912335	-7.762204	17.316191	-15.172626	9.701933	4.435075	4.737542	-37.837867	4.198363	1.564934	27.133193	34.333204	4.300281	3.093703	13.578103	10.027413	-2.764936	23.178118	13.186870	7.926588	-9.807139	13.134267	10.898647	25.127710	24.397846	18.309070	18.157836	-1.896989	-15.925504	12.397827
18:39:08:677	-23.822503	-27.001686	-26.787987	-30.894295	-38.814307	-44.620343	-59.835709	-69.616546	-71.122302	-67.949694	-60.963382	-49.828023	-34.188546	-31.025802	-31.374295	-31.012651	-27.304152	-25.887163	-26.472370	-26.133739	-25.949629	-25.975931	-25.344697	-144.131730	-145.341595	-27.534289	-25.150724	-170.176702	-161.191483	-141.015013	-135.458840	-138.351996	5574.209197	4101.921981	18.927153	0.358357	-7.752341	35.963891	1.689866	3.060827	7.522203	-10.763852	9.632892	-2.511785	-9.780837	5.766584	27.432371	4.464664	12.207142	19.998935	15.080571	36.637865	-12.391252	2.439456	4.227952	-20.860306	13.587966	16.777012	-5.263570	16.947972	5.450967	10.842757	12.190704	7.029052
18:39:08:687	-25.492642	-27.932098	-26.110725	-30.710185	-29.493744	-41.598969	-65.053252	-70.418739	-74.909705	-70.550246	-69.606683	-50.817613	-36.680605	-34.500875	-31.278953	-29.723882	-29.911279	-25.121135	-25.413738	-25.469629	-24.489901	-25.157299	-26.120588	-151.519139	-146.916392	-27.836756	-24.775929	-168.000261	-165.741627	-143.763511	-138.289530	-142.632550	5418.166216	5909.496293	114.444013	1.712879	-0.792330	-13.808241	87.034656	-1.055344	-9.172617	10.885496	-3.932061	19.196742	68.291613	10.057002	32.883339	4.464664	1.275618	19.998935	-33.008270	15.106873	16.014271	10.681660	11.266867	-1.035618	9.557275	11.201113	14.945777	0.673974	-0.216987	15.097010	4.162198	7.029052
18:39:08:697	-28.372647	-30.161143	-30.269636	-34.395670	-36.240056	-46.132674	-61.742562	-67.311885	-67.242844	-66.217089	-64.237908	-55.847758	-41.769928	-33.212106	-29.559498	-27.235111	-26.561137	-26.843877	-27.146343	-27.083878	-26.225794	-26.429630	-25.538670	-144.785978	-148.307079	-26.215931	-26.176479	-166.579985	-171.481910	-144.223785	-137.740488	-140.903232	4509.360422	4339.354679	12.115087	20.666333	-13.338103	20.771539	-12.963308	19.489345	-6.387955	0.059178	13.706323	-3.872883	5.822475	-4.227952	11.115634	-6.489873	-0.092055	0.036164	16.458108	9.734810	6.072338	12.055909	-16.846054	15.971532	10.898647	11.201113	12.266320	12.890979	22.408802	73.124497	-1.206577	12.397827
18:39:08:707	-23.082776	-25.144149	-24.660860	-28.224701	-35.174849	-44.922809	-56.327759	-62.896536	-65.799554	-62.748591	-63.692154	-55.847758	-47.381991	-43.538698	-34.244437	-30.552376	-29.260319	-28.280592	-28.589633	-29.464155	-27.323878	-27.882783	-24.276202	-146.748721	-145.525705	-29.457580	-25.804972	-169.325194	-166.139436	-144.680772	-138.470352	-140.992000	5854.805797	4709.905391	12.115087	5.783023	4.770418	11.076182	-7.640560	11.273442	14.469064	75.853268	27.251549	4.283842	0.154521	22.911816	2.935895	-36.614851	8.100834	15.715093	1.364386	20.501950	-1.025755	12.055909	-7.012614	15.971532	17.618657	1.456441	-2.564388	4.734254	8.261931	12.263033	-2.528223	4.333157
18:39:08:717	-23.266885	-25.144149	-25.433464	-27.396207	-29.316210	-45.932126	-53.720631	-60.187491	-64.267497	-64.964484	-61.417082	-51.626381	-48.628021	-36.489920	-26.403329	-23.092639	-23.210995	-22.537021	-22.237843	-23.280036	-22.477843	-22.431816	-26.603877	-149.927904	-145.989268	-24.900861	-22.717843	-168.095603	-166.336696	-143.579401	-136.372814	-141.264877	4937.747936	5887.534615	3.912335	19.328249	7.564943	15.231804	-3.636170	-6.522750	-3.619732	1.416989	5.556173	5.641653	15.777559	14.347420	12.457006	0.368220	13.578103	8.600561	8.212615	12.410978	13.186870	14.810982	30.933747	3.221923	4.198363	4.247678	8.215903	26.446068	12.512896	-0.476713	6.844942	7.029052
18:39:08:727	-25.216477	-25.699766	-29.687717	-32.922791	-29.141963	-38.071292	-51.715149	-60.789135	-61.111328	-59.954066	-57.958446	-49.469666	-46.237880	-35.197863	-32.521694	-28.251003	-22.093185	-23.779763	-23.585790	-25.088258	-22.750720	-25.249354	-22.625789	-144.973376	-145.525705	-24.900861	-23.467434	-166.770670	-166.533957	-143.671456	-135.912540	-139.535559	4919.961607	4165.061805	-4.267404	0.358357	11.750155	-2.748497	5.694255	11.273442	-4.993980	-6.696997	23.197844	4.283842	88.178767	14.347420	-3.859732	3.093703	-16.500848	1.463016	30.210458	2.995073	40.168829	10.681660	-2.791237	23.043323	5.543022	8.429602	17.648247	0.673974	6.844942	-0.476713	4.162198	12.397827
18:39:08:737	-22.711268	-21.892637	-23.112365	-27.488262	-23.815927	-37.666908	-56.626937	-65.503663	-63.097084	-60.723382	-59.506942	-51.895971	-49.874050	-41.552941	-37.301976	-32.672927	-27.958400	-29.431279	-28.882237	-28.323332	-28.053742	-28.428537	-27.284426	-147.215571	-148.491189	-28.444976	-26.363877	-164.876968	-161.881895	-144.315840	-137.924598	-141.994741	6031.380318	5372.832447	36.677317	20.666333	-3.583567	0.019726	25.693191	-2.426305	17.253725	-1.295344	0.144658	2.922744	12.933719	17.187972	24.703600	3.093703	4.014253	-1.370961	1.364386	11.063031	17.437835	12.055909	16.875643	20.206059	9.557275	9.823577	0.134795	22.385788	15.346873	12.263033	-2.528223	24.503052
18:39:08:747	-24.937025	-25.979218	-27.754564	-31.170459	-29.316210	-41.497051	-55.022551	-61.893795	-61.111328	-62.939276	-62.600645	-47.582540	-40.941433	-34.898684	-28.698127	-24.749627	-21.813732	-24.164421	-23.296475	-25.847711	-24.670723	-24.430723	-26.025246	-151.890647	-145.989268	-27.734838	-24.960039	-161.941073	-158.518602	-142.938304	-137.010624	-141.902686	4503.876578	5365.957915	27.110179	24.736477	18.713454	12.463581	19.032358	12.647691	3.343567	17.661397	9.632892	-40.494309	14.353995	25.772095	13.821391	34.606081	4.014253	4.316719	8.212615	0.299179	-16.661944	75.291076	8.449328	10.293715	6.867956	-11.076182	-13.344678	-7.479464	-3.050964	26.419767	18.897564	1.640550
18:39:08:757	-27.537577	-26.630178	-30.657582	-36.236769	-32.866900	-43.410478	-57.629678	-62.291604	-64.990786	-68.239010	-71.516823	-64.385853	-45.718427	-35.891563	-33.192380	-29.355662	-23.769900	-26.271822	-26.955658	-26.515110	-26.866891	-26.702507	-24.664148	-143.944333	-147.100502	-26.419767	-25.334834	-163.361349	-163.170664	-143.947621	-136.280759	-141.084055	5223.815229	5043.427004	16.195094	-0.999454	-14.732078	15.231804	11.020291	9.902481	1.949592	-8.054807	-5.289871	-5.210967	14.353995	24.341956	9.751248	8.580835	-2.830689	0.036164	16.458108	11.063031	4.648774	21.675650	-2.791237	20.206059	-1.176988	1.456441	4.165486	0.673974	16.763862	22.165514	4.162198	0.292603
18:39:08:767	-23.822503	-24.309079	-25.532094	-29.237306	-27.629632	-35.148548	-45.596783	-50.653229	-56.781458	-61.302013	-67.331611	-64.474621	-45.097056	-35.891563	-34.435122	-31.196761	-26.745247	-27.034562	-26.472370	-26.705795	-26.317849	-27.064152	-25.634012	-151.890647	-150.345439	-27.228535	-23.654831	-155.221063	-155.352570	-141.836932	-134.364044	-139.627614	5938.306201	5231.459077	3.912335	16.615916	0.601645	30.443883	12.355088	3.060827	10.290427	10.885496	13.706323	17.855370	-8.357273	22.911816	-5.220830	-5.118912	13.578103	2.889867	-27.517851	-1.048769	10.339742	10.681660	18.282768	15.971532	-54.845017	11.201113	0.134795	-0.683837	4.033979	-6.128229	2.820826	13.745775
18:39:08:777	-24.194010	-24.029626	-25.916753	-27.212097	-33.754573	-43.712945	-53.520083	-54.466934	-51.100353	-55.811593	-55.229675	-54.230221	-40.629104	-34.701424	-30.226896	-28.619222	-24.700312	-24.355106	-24.453737	-24.420860	-24.854833	-25.068532	-23.404968	-145.627623	-142.744331	-24.697025	-23.184694	-155.313118	-153.669280	-139.821587	-135.823772	-140.265423	4328.692744	4376.413366	12.115087	7.140833	116.275249	2.787950	0.351781	1.689866	-2.229045	4.126034	1.502468	2.922744	-2.689319	1.495893	32.883339	-6.489873	10.839469	32.820873	1.364386	31.265802	8.916178	29.934293	8.449328	-8.110698	4.198363	15.383038	1.486030	-2.041647	16.763862	-35.861973	9.507960	15.090434
