# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181218\Data001.txt																																																															
																																																																
Log date:	Dienstag, 18.Dezember 2018	Log time:	13:11:00																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
13:10:50:133	-88.224794	-88.625891	-89.053289	-89.500413	-92.068088	-93.448912	-100.527279	-115.841276	-153.899417	-120.526214	-125.608962	-84.065884	-40.172117	-18.240028	-14.367146	-19.440030	-43.489383	-85.348078	-127.387595	-129.107050	-159.961892	-119.237445	-106.556878	-98.965633	-94.418777	-91.101511	-89.694386	-89.043426	-90.447264	-95.365627	-93.915762	-94.905353	13.068513	20.528251	15.553997	12.088786	27.991276	3.530964	-0.789042	43.795136	8.939192	10.941387	-10.714537	17.921124	6.864668	18.831810	7.617546	6.716723	-19.075098	7.101381	-16.336464	15.172626	16.773725	0.417535	10.984127	19.903593	99.823717	22.872364	13.380843	13.140842	25.551820	8.774808	5.184666	8.265218
13:10:50:145	-90.637949	-90.111921	-90.309181	-92.906446	-93.843433	-96.973301	-104.035230	-116.143742	-155.612296	-122.163477	-127.699924	-85.772188	-42.664176	-20.324415	-16.658656	-21.189074	-46.096510	-88.122876	-131.332807	-134.055003	-161.059976	-121.870874	-105.103725	-99.524538	-95.806176	-94.441790	-92.028636	-93.018227	-92.127266	-101.960706	-102.493310	-102.637967	29.460868	12.295909	6.003297	9.379741	-8.176451	9.057548	16.497560	10.974264	6.161105	29.861964	-8.005492	4.375897	26.695932	8.860288	14.416461	5.365488	6.861381	58.300364	12.453718	3.080553	2.590689	7.269052	9.580289	0.121644	-0.581919	-0.752878	3.968225	0.950138	15.675641	37.038962	2.505209	8.265218
13:10:50:154	-89.990277	-88.997398	-89.536577	-90.513017	-92.955761	-95.967272	-101.128924	-115.039083	-155.520241	-120.526214	-125.970606	-85.233009	-40.481159	-18.736467	-15.800572	-20.912909	-45.537605	-87.836849	-130.948148	-136.431993	-162.522992	-114.516342	-107.625372	-98.031933	-94.234667	-93.429186	-91.749183	-92.544801	-92.919596	-97.841248	-99.389743	-98.817688	15.803860	12.295909	12.825225	26.935932	21.024690	0.785755	19.163865	4.149048	-0.772604	0.138082	2.820826	4.375897	123.047862	-3.968225	0.835070	20.386881	-1.321646	1.423564	-5.358912	-4.974254	8.252068	34.711287	-24.082229	26.985247	-3.264663	14.538105	9.340288	10.425222	28.379222	10.188509	14.538105	14.968790
13:10:50:164	-90.082332	-89.927811	-91.759046	-90.973292	-92.334390	-96.470287	-99.626456	-114.937165	-151.012837	-121.200188	-126.243484	-84.513008	-39.133211	-17.349068	-14.462488	-18.979755	-43.025820	-85.923421	-129.409516	-133.387604	-160.875866	-121.778819	-101.125636	-93.547542	-93.399597	-89.986989	-89.414933	-90.177674	-89.855482	-97.473028	-98.387002	-101.181527	19.906880	13.666871	14.189611	16.129340	-1.229591	11.822484	16.497560	12.341937	15.869614	13.647144	21.761130	9.800563	29.533197	7.433436	4.895350	23.125515	19.144139	4.270692	33.037859	16.517286	43.699794	10.017550	10.984127	7.180285	-8.610424	-11.868512	7.992341	5.000556	22.724419	-2.528223	-6.848230	40.468008
13:10:50:174	-87.113560	-85.933284	-86.347531	-89.224248	-88.875754	-91.637402	-97.019329	-110.728939	-148.938313	-117.636347	-122.607314	-81.369989	-38.613759	-15.662490	-12.358375	-17.598931	-41.908010	-84.105336	-127.870883	-132.342123	-151.187084	-120.236899	-102.776050	-93.639597	-90.993018	-89.786441	-89.319591	-90.841785	-89.260412	-94.540421	-96.743164	-96.723438	26.725521	28.737579	8.732068	12.088786	11.289881	9.057548	3.208772	6.887682	15.869614	-3.902472	12.292622	27.396207	13.939748	3.169320	-0.526028	21.754554	8.229054	14.222488	-3.984664	-27.810454	13.933172	4.520555	3.978088	4.369322	-70.201753	-0.752878	2.620278	-0.404384	0.144658	10.188509	47.954047	4.234527
13:10:50:184	-89.802879	-88.905343	-89.924523	-90.236852	-91.890554	-95.664806	-102.430844	-117.245113	-151.193659	-120.716900	-125.789784	-84.065884	-40.481159	-18.736467	-14.939201	-20.452634	-35.487178	-86.304791	-129.024858	-129.393077	-157.584902	-119.964022	-105.393040	-95.414943	-93.863159	-93.126720	-89.319591	-88.856028	-88.865891	-99.488374	-99.389743	-98.452756	6.249873	20.528251	20.991813	8.025218	8.501931	-7.505765	20.498662	0.039452	-2.160003	1.492605	-1.246029	20.633457	18.197289	54.466934	4.895350	1.259180	-6.789052	24.174284	-9.481659	-21.100307	16.773725	20.988526	2.574251	7.180285	11.467415	59.003927	10.684948	-1.762195	8.607137	5.963845	31.923337	13.624131
13:10:50:194	-87.948630	-87.790821	-88.668631	-91.709731	-92.511924	-96.269738	-101.431390	-113.033600	-152.906539	-119.947583	-124.879098	-84.693830	-40.172117	-18.042768	-16.086600	-19.900305	-44.607193	-86.400134	-129.314173	-130.629244	-158.775041	-118.783746	-106.362905	-96.443985	-94.326722	-93.633022	-91.657129	-92.354116	-91.140963	-98.298235	-99.116866	-101.092760	25.357848	12.295909	-0.795618	-8.196177	-23.483872	-22.665241	28.474565	-20.455922	13.111253	16.352902	-5.312885	7.088230	5.444392	34.517314	25.278943	10.823030	-5.424666	29.852101	1.476167	-6.318914	2.590689	-6.453709	40.451570	-4.126034	15.491531	6.187407	36.249919	14.475639	21.310718	29.983608	14.538105	2.889867
13:10:50:204	-88.596302	-88.070274	-88.474658	-88.211644	-90.651100	-94.356311	-101.431390	-116.541551	-149.661602	-118.310321	-123.518000	-82.089990	-38.718964	-16.356190	-13.791802	-18.611536	-43.305273	-85.732736	-129.794174	-133.006234	-158.682986	-117.422648	-99.189195	-98.311385	-93.955214	-90.595209	-89.227536	-89.894934	-90.052742	-97.565083	-98.294947	-96.269738	40.382528	31.482789	0.568768	10.734263	18.256467	4.911788	16.497560	6.887682	4.770418	0.138082	1.466304	20.633457	9.701933	-15.369887	-7.305217	3.997814	-9.524398	-9.955084	22.057021	1.735893	8.252068	-9.202206	-12.861390	8.597274	12.808787	4.813158	18.752906	-3.116717	142.695016	27.152919	17.214273	-9.189055
13:10:50:214	-91.288909	-90.575483	-90.503154	-91.065347	-93.665899	-97.377685	-101.530021	-114.637986	-151.644071	-122.548135	-126.700471	-85.052187	-40.793488	-18.341946	-15.225229	-19.716195	-43.768835	-81.902593	-128.929515	-133.006234	-154.113116	-123.235260	-102.582077	-95.881793	-93.399597	-91.305347	-90.256578	-90.273017	-90.151373	-97.104808	-97.930015	-98.906455	37.647182	20.528251	-6.253160	18.835098	12.683855	21.475102	-14.097556	16.451532	-13.262486	6.904120	-1.246029	27.396207	12.522759	-3.968225	49.722817	-30.174293	9.596727	-18.499755	5.598913	-14.373721	28.116208	-9.202206	5.385214	8.597274	-1.923291	-0.752878	-2.768223	13.140842	14.261940	-54.789126	1.167125	2.889867
